,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,흑돼지도 먹어보고 삼겹살도 먹어보고 둘다 먹을만함 밑반찬이 많이 나옴,212232,23537,눈달프,2,대전시 대덕구 덕암동 70-8,1,240465,36.4348985,127.4218389,덕암골생고기전문점,2016-03-31 22:48:18
1,"사실 또래오래에서 치킨 처음 먹어본다.
정말 정말 기대를 안했는데 생각보다 괜찮아서 놀랐다ㅋㅋㅋㅋㅋㅋ바삭바삭한 치킨은 아니지만 약간 음..일본 치킨튀김 느낌이랄까ㅋㅋㅋ동글동글ㅋㅋㅋㅋ친구들이랑 수다떨며 먹기 좋은듯ㅋ 간장치킨반 양념반인데 양념은 계속 먹다보면 좀 질린답",246789,553856,백승연,2,대전시 대덕구 덕암동 53-14,1,264113,36.43947088,127.42388541,또래오래,2016-07-26 02:25:04
2,저는 모든 갈비를좋아해서좋아요^^ 하지만 불친절해서 ....,179849,437448,달달눈꽃,2,대전시 대덕구 덕암동 9-7,1,35667,36.4447649,127.4233795,설악칡냉면,2015-11-18 22:06:14
3,"돼지갈비.갈비탕 맛나요~~
물냉 진짜 맛없음ㅜ
서비스도 별로ㅋ

근데 아랫글 보니 조미료 얘기 있어서...진짠가ㅠㅠ",60241,24189,지은♥,2,대전시 대덕구 덕암동 9-7,1,35667,36.4447649,127.4233795,설악칡냉면,2014-07-31 11:33:08
4,맛은 그냥 조미료맛 국물 함보면 다시다 둥둥 칡냉면 어떵게 만들어지는지 인터넷 찾아보구 드시길 지금 칡냉면 끊음,52509,23618,메롱,1,대전시 대덕구 덕암동 9-7,1,35667,36.4447649,127.4233795,설악칡냉면,2014-07-09 05:59:32
5,,62804,28814,진,2,대전시 대덕구 덕암동 9-7,1,35667,36.4447649,127.4233795,설악칡냉면,2014-08-05 20:19:12
6,,60334,26599,고은주,2,대전시 대덕구 덕암동 9-7,1,35667,36.4447649,127.4233795,설악칡냉면,2014-07-31 18:33:55
7,,51418,23202,유의상,3,대전시 대덕구 덕암동 9-7,1,35667,36.4447649,127.4233795,설악칡냉면,2014-07-04 07:33:06
8,"두부닭찜 매콤하니 맛있음!
당면,버섯 많이들어가서 좋음. .
두부김치가 반찬으로 나오는데
볶음김치맛있음..
",113436,57240,areum89,2,대전시 대덕구 덕암동 48-17,1,35617,36.4392348,127.4258455,삼대째손두부,2015-01-22 23:31:05
9,엄청맛나요,179851,437448,달달눈꽃,3,대전시 대덕구 덕암동 18-4,1,35816,36.4427387,127.424863,신탄서울생고기식당,2015-11-18 22:07:56
