,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"이집의 장점은 푸짐하고 저렴하다는 점입니다.
돈까스나 순두부 모두 7천원이에요.
돈까스가 진짜 커요.
다만 제 입엔 음식이 맛있지 않습니다.
해장하기 좋다는 짬뽕순두부는 아주 맵고 짜서 이걸로 해장하다간 속 다 버리겠어요.
돈까스도 그닥. 특히 매운돈가스는 그냥 매운 
소스만 뿌린건데 순두부도 맵고 돈가스도 매우니
별로에요.
참고로 전 매운 음식을 아주 잘 먹는 편입니다.
돈가스 마니 남았고 남은 음식 포장도 가능하지만
싸와도 안 먹을 것 같아 그냥 왔습니다.
한참 마니 먹는 성장기 남학생들이 친구들이랑 가기 딱 좋겠네요.
자극적인 것 좋아하시면 여기 음식 좋아하실 거에요
전 두 번 다시는 안 갑니다.",278186,629275,데굴데굴,1,대전시 대덕구 비래동 125-12,2,35941,36.3548314,127.4476435,이성수왕짬뽕순두부,2016-11-06 00:39:00
1,"순두부짬뽕인가는 얼큰하니 맛있음..
돈까스 엄청큼..소스가 무척 독특함",113435,57240,areum89,2,대전시 대덕구 비래동 125-12,2,35941,36.3548314,127.4476435,이성수왕짬뽕순두부,2015-01-22 23:29:18
2,"
",41222,17870,한승우,3,대전시 대덕구 비래동 125-12,2,35941,36.3548314,127.4476435,이성수왕짬뽕순두부,2014-05-26 23:33:29
3,"맛이 복불복~ 어느날은 정말 구수한맛있는국물이지만
어느날은 좀 심심하고~ 차이가좀있네요",125950,72677,남기선,2,대전시 대덕구 비래동 138-1,1,35915,36.35644531,127.45077515,진미본,2015-03-20 18:05:52
4,저렴한 가격에 맛까지 좋은곳,41229,17870,한승우,3,대전시 대덕구 비래동 138-1,1,35915,36.35644531,127.45077515,진미본,2014-05-26 23:38:15
5,"칼국수에 조미료 안넣고 하신다고 하는데
맛도 괜찮고 건강해지는 느낌이에요 ㅋㅋ",100190,17805,양희성,3,대전시 대덕구 비래동 143-29,1,188094,36.35456467,127.45316315,댕이골칼국수,2014-11-12 21:47:37
6,정말 스시가 맛있고 덤으로 참치회도 술하기 딱입니다,101524,45362,Hite radio,3,대전시 대덕구 비래동 123-7,3,35731,36.3550387,127.4472942,스시마쯔리,2014-11-19 22:35:04
7,맛있어여,220885,516924,서재은,3,대전시 대덕구 비래동 510-7,1,256902,36.354048,127.4471935,선비꼬마김밥,2016-05-01 17:39:06
8,"가격은 좀 있지만 빵 종류도 많고, 건강빵이 많음!",45920,20709,한나 윤,3,대전시 대덕구 비래동 140-7,7,35965,36.3544065,127.4496716,에코브레드하우스,2014-06-09 22:27:58
9,좋은재료만 써서그런지 약간 비싸지만 맛있어요^^  ,41721,18204,세윤 정,3,대전시 대덕구 비래동 140-7,7,35965,36.3544065,127.4496716,에코브레드하우스,2014-05-28 22:02:12
10,오랫동안 가는 이유가  있을듯,41227,17870,한승우,3,대전시 대덕구 비래동 127-8,1,36024,36.3556817,127.4496201,불구이돈,2014-05-26 23:36:45
11,,41230,17870,한승우,2,대전시 대덕구 비래동 140-11,8,35853,36.35432816,127.45015717,초콜릿BAR,2014-05-26 23:39:59
