,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"신탄진에서 꽤 괜찮은 돈까스 파스타 집이에요 ㅎㅎ 먼저 안심돈까스는 8000원인데 양도 많고 안에 고기도 부드러워요! 기름이 쫙 빠진 느낌이에요 ㅎㅎㅎ 
치즈오븐스파게티 , 봉골레 파스타는 다 무난한 느낌이에요 ㅎㅎ !  봉골레에 바지락이 많아서 좋아용 ㅎㅎㅎ 오픈키친이라서 좋은것 같아요! ",355654,553856,백승연,3,대전시 대덕구 신탄진동 156-36,4,328804,36.4477124,127.4323083,노씨식당,2017-07-01 23:52:17
1,여기 정말 티비에도 몇번 나오고..! 신탄진 맛집이에요 ㅠㅠ 너무 맛있어요 정말...!! 칼국수 양도 정말 많고 바지락도 많이 주세요!ㅎㅎ 그리고 쭈꾸미는 많이 매운편인데 쭈꾸미에 볶아먹는밥 때문에 여기를 잊을수 없어요!ㅠㅠ 정말 볶음밥 강력추천...신탄진에서 밥 드실 일 있으면 꼭 추천이에요!ㅎㅎ,295774,553856,백승연,3,대전시 대덕구 신탄진동 139-24,1,16829,36.4495692,127.431652,본가부추해물손칼국수,2017-01-06 21:43:17
2,"업무로 혼자 신탄진에 들른김에 고독한 구루메 놀이차 15시경 가게에 진입. 세시인데도 네팀 정도가 식시중. 서빙은 친절하다. 점심엔 붐비는듯 대기표발권기계가 앞에 놓여있음.  칼국수 1인분을 주문하니 곧 겉절이김치와 세수대야에 담긴 칼국수가 나옴. 토핑에 작은 사이즈의 전복이 하나 놓여있어서 깜놀. 첫맛은 맛있다. 사람들이 좋아할 맛이다.밀가루를 부추다진것과 함께 반죽하여 특색있는 면을 연출하였음. 단, 부추가 들어있어서 어린아이들은 좀 매울수도 있겠다고 생각. 국물은 보통 바지락으로 낸 국물인데 조미료를 많이 넣은 맛이라는게 옥에 티. 그리고 좀 짜다. 바지락은 엄청 들어있는데 40개까지 세다가 까먹음. 해감도 잘 되어있어서 모래가 씹히지 않았다. 해감은 바지락칼국수의 기본 중의 기본인데도 잘 안되어있는 가게가 가끔 있다. 조미료 사용이 넘 쎄지만 않았더라도 자주 올텐데 약간 아쉬웠다. 뭐 MSG가 무해하다고는 하지만 기분상 그렇다.. 젊은 사람들이 좋아하는선굵은 맛을 좋아하는 사람은 좋게 평가할듯. ",360820,813306,아드레날린 제임스,2,대전시 대덕구 신탄진동 139-24,1,16829,36.4495692,127.431652,본가부추해물손칼국수,2017-07-17 16:16:40
3,,51422,23202,유의상,3,대전시 대덕구 신탄진동 139-24,1,16829,36.4495692,127.431652,본가부추해물손칼국수,2014-07-04 07:37:14
4,한우 먹고싶을때 가는 식당. 사장님이 정육점과 같이 운영 하셔서 그런지 몰라도 고기를 알고 파는거 같음. 고기가 부위별로 정말 맛있어서 갈때마다 감탄하고 있음. 육회도 신선하고 고소한것이 별미라 생각됨. 고기먹을때 나오는 반찬들은 소박하게 나와 첨엔 실망했지만 메인인 한우고기에 승부를 거는 집이란걸 고기먹으면서 알게 됬네요. 암튼 입이 오랜만에 호강 했슴. ,207269,502975,woojePark,3,대전시 대덕구 신탄진동 19-12,1,247457,36.4508512,127.4353364,부여농축산물,2016-03-13 23:27:58
5,"손님많으니까  들어와도 쳐다도 안보네요
닭보듯이함.. 기분완전나쁨   얼마나걸리냐고 물어봐도 들은척도안해요... 서비스별로네요
그냥 나왓음",198232,467250,헹이,1,대전시 대덕구 신탄진동 120-12,1,234143,36.4516346,127.4297575,탄불이,2016-02-09 19:47:35
6,"맛도형편없고 입맛만 버리고왔슴.
안가는게좋을듯",277161,651733,이일재,1,대전시 대덕구 신탄진동 120-12,1,234143,36.4516346,127.4297575,탄불이,2016-11-02 05:01:00
7,"신탄진에서 막창 먹을거면 여기가세요
부사동에서 버스 1시간타고 먹으러 가는곳
낙지젓갈,양배추,김,오이피클등다양하게 쌈싸서 먹을 수도 있고
그냥 소스에 찍어먹어도 맛나요.
그리고 황태국이랑 식혜까지 서비스가 좋아요.
단 부부께서 식당과 홀까지 봐서 만족스러운 서비스를 받기엔 어려움
그래도 내가 먹어본 막창 중 손에 꼽아서 찾아가는 곳
",270599,114139,쓔쑤,3,대전시 대덕구 신탄진동 147-4,1,240549,36.4487309,127.4289915,왕십리양념곱창구이,2016-10-08 01:39:58
8,맛있어요~~ 생맥도 맛있고ㅋ,56593,24189,지은♥,3,대전시 대덕구 신탄진동 140-29,1,35704,36.4501624,127.4303636,다사랑치킨피자,2014-07-20 09:02:16
9,,104008,47540,박진희,2,대전시 대덕구 신탄진동 140-29,1,35704,36.4501624,127.4303636,다사랑치킨피자,2014-12-05 16:20:43
10,고기가 정말 맛있습니다 고기 싸서 먹는 채소가 다양하고 우렁쌈장 정말 맛있네요 ,146364,201940,성승언,3,대전시 대덕구 신탄진동 159-25,1,35774,36.4483595,127.4341441,도네누,2015-06-23 21:56:18
11,,51423,23202,유의상,3,대전시 대덕구 신탄진동 139-1,1,36025,36.450095,127.4315256,우스,2014-07-04 07:37:36
