,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0," 오픈한지 두달 정도 된 중리동 카페예요. 미러볼이 달린 욕실 같은 공간이 있어서 나름 핫?한 곳인 것 같아요. 커피는 낮에 마셔서 친구랑 그릭 요거트를 먹었는데 생각보다 양이 든든했어요!
 각각 자몽청, 블루베리 이렇게 토핑되고 공통적으로는 바나나, 아몬드 슬라이스, 그래놀라, 코코넛 칩 이렇게 있어요. 무난하게 맛있는 요거트에 무난하게 맛있는 토핑!! 조명 때문에 요거트들이 칙칙해 보이는데 실제로 보면 맛있어 보이는 선명한 색감이에요ㅠㅠ",286283,47875,준영,2,대전시 대덕구 중리동 197-10,7,275712,36.36085091,127.42855715,스물넷카페,2016-12-06 00:16:52
1,"약간... 간만에 멀리 나온 김에 완전히 뽕을 뽑고 가자는 생각에 찾은 카페 ㅋㅋㅋㅋㅋ아니에요. 사실 와보고 싶었어요. 진짜에요 ㅎ....

둘 다 이미 커피를 마시고 온 날이라 커피 말고, 사이좋게 그릭요거트 한 사발씩 먹기로 했어요. 고기 먹은 직후인데도 디저트 배가 생기더라구요. 하핳ㅎ

가게 내부는 전반적으로 화이트 톤에, 중간중간 신기한 혹은 아기자기한 소품으로 꾸며져있었어요. 미러볼은 왜 볼 때마다 탐이 나는지...

요거트는 자몽이랑 블루베리 하나씩(6000씩) 시켰어요! 제 머리 뒤로 조명이 있어서 핸드폰 그림자 대문에 사진을 잘 못 찍겠어서ㅠㅠㅜ 눈으로 열심히 찍었어욯ㅎㅎ헿ㅎㅎ 자몽 혹은 블루베리에 바나나, 아몬드, 코코넛이 추가로 들어가 있어요. 자몽은 자몽 자체가 맛있어서 기분이 너무 좋았어요. 얼마만의 맛있는 자몽인지 ㅎㅎㅎㅎ 블루베리는 동결건조된 블루베리를 쓰시는 듯해요. 상큼하거나 신맛보다는 단맛이 주된 블루베리였어요:) 집에서 먹던 게 더 신맛 강한 요거트라 그런지 여기 요거트는 좀 밍밍한(?) 느낌이 있었는데, 그래더 전반적으로 맛있고 든든한 요거트였어요! 그릭요거트에 이렇게 과일 넣어먹는 거 좋아하는데 근처에 이런 곳 있었다면 얼마나 좋았을까 싶네요. 집 아니면 먹기 힘든 이것 ㅇㅅㅇ..... 아 굳이 아쉬운 게 하나 있다면 자몽즙 때문에 살짝 묽어지는 거..? 그래도 자몽이 맛있고 요거트가 맛있으니까요 :))) ",286278,641116,하영,3,대전시 대덕구 중리동 197-10,7,275712,36.36085091,127.42855715,스물넷카페,2016-12-06 00:12:19
2,요즘 대전의 인기 카페중 손꼽는 스물넷카페!겉에 외관은 조금 아쉬지만 내부는 매우 좋다.특히 목욕탕느낌의 공간은 포토존으로 매우 좋다고 볼수 있으며.곳곳의 드라워플라워가 눈에 띄인다. 스벅말고도 돌체라떼를 즐길수 있어 좋았다~,300883,699254,유동현,3,대전시 대덕구 중리동 197-10,7,275712,36.36085091,127.42855715,스물넷카페,2017-01-19 10:13:16
3,"인테리어와 분위기때문에 간곳이었는데
생각보다 커피가 맛있어서 놀랐다.
남친엔나(비엔나커피)가 맛있었던곳",334563,54607,알빈,3,대전시 대덕구 중리동 197-10,7,275712,36.36085091,127.42855715,스물넷카페,2017-04-28 16:11:56
4,"국밥 먹고 싶어서 오랜만에 찾아간 오문창.  순대국밥인데 순대보단 내장의 비율이 압도적이다. 그래도 천복이랑은 달리 양지는 적어서 덜 느끼하다. 내장들이 돼지 냄새 안나고 깔끔하니 고소해서 좋다. 나는 국밥 먹을때 다데기를 빼고 먹는데 그렇게 맨 국물에 먹어도 안 느끼하고 맛있게 끝까지 먹을 수 있음. 국물 자체가 누린내 안나고 진하다. 이번에 한번 시도해봤는데 다데기 풀어먹는 것도 맛있었고, 파무침을 꼭 듬뿍 넣으시길! 더더 맛나는 국밥을 즐길 수 있다. 맛있고 가격도 진짜 저렴해서 사람들이 항상 많은 집.",187814,71218,용,3,대전시 대덕구 중리동 203-2,1,35606,36.3592648,127.4265946,오문창순대국밥,2015-12-31 14:48:31
5,"가성비가 엄청난 순대국밥집. 
이곳은 족발이나 순대를 따로 시켜야 진가가 드러나는데 순대국밥은 2017년에 5천원이고 순대와 족발은 가격이 조금 오른거 같지만 여전히 엄청난 가성비이다. 남자 2명이서 순대국밥 2개에 순대나 족발 작은거 하나 시키면 배부르고 맛있게 먹을 수 있다!

순대는 야채와 선지가 듬뿍 들어간 스타일의 순대이고 족발도 쫀득쫀득하니 가성비가 괜찮다.



",335910,317917,송준현,2,대전시 대덕구 중리동 203-2,1,35606,36.3592648,127.4265946,오문창순대국밥,2017-05-02 00:23:35
6,"대전의 유명한 순대국밥인줄이야 알고 있었지만, 5천원이라는 가격에 이 정도 맛일줄이야!!",166825,27597,권오찬,3,대전시 대덕구 중리동 203-2,1,35606,36.3592648,127.4265946,오문창순대국밥,2015-09-08 08:31:24
7,"진짜 우와!!!!
일단 다대기 안풀고 국물 먹었는데
잡내 하나도 안나고 맛있는 포스가 철철철

보통이랑 특이랑 오백원차인데 양은 꽤 차이가 나서
욕심이 나지만
보통으로도 충분히 배불렀어요
물론 다음에 오면 특으로 먹어야지 라는 생각은 떠나질 않네요ㅋㅋㅋㅋ

내장은 어찌나 부들부들한지
배고파서 아주 밥을 마셨는데도
속도를 따라와줄정도였어요

순대는 생각보단 완전 맛있진 않았어요
제 입맛엔 순대는 신성동 천리집이 좀더 맛있게 느껴지더라고요

좀만 더 가까웠음 마구마구 가고싶은 집입니다!!",260321,593070,돌돌 :D,3,대전시 대덕구 중리동 203-2,1,35606,36.3592648,127.4265946,오문창순대국밥,2016-09-03 01:59:46
8,언제 가도 항상 사람이 많다:) 새벽에 가도 붐비는게 신기할 정도! 국밥에 파 잔뜩 넣어 먹으면 진짜 맛있고 잡 냄새 없어서 너무 좋다:) 족발은 맛있긴 한데 너무 질겨서 국밥 국물에 담갔다 먹었다ㅎㅎ,270641,637621,MUNEO,3,대전시 대덕구 중리동 203-2,1,35606,36.3592648,127.4265946,오문창순대국밥,2016-10-08 10:24:18
9,국밥보다 내장이 더많은 특국밥 한그릇에 장찍어먹는 양파까지 곁들이면 한숟가락 한숟가락이 천국이죠. 간을 맞출 필요는 없습니다. 완성품 그대로 나온 국밥을 맛있게 먹기만 하면됩니다. 하드코어하게 푸짐/양념팍팍을 선호하시는 분이라면 한번맛보고 뇌한구석에 오문창을 위한 자리를 내줄 생각은 하셔야 할겁니다.,241713,582473,JeongJaewon,3,대전시 대덕구 중리동 203-2,1,35606,36.3592648,127.4265946,오문창순대국밥,2016-07-11 00:39:51
