,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"작년 가을에 오픈한 동구 대동의 카페조각구름이에요. 가게 앞에 있는 현수막과 테라스 자리로 핫한 곳이에요.
 저는 방문한 날 마침 내부에도 사람이 꽉 차있고 밖에 날씨도 많이 춥지 않아서 테라스에 앉았어요!
 너무너무 예쁜데 돌바닥이라 균형이 안맞아서 테이블이 좀 흔들리는게 아쉬웠어요..ㅠㅠ
 친구들이랑 메뉴는 각자 주문했는데 신기하게 다같이 자몽라떼 통일ㅋㅋㅋ
 얼음도 넉넉하지만 컵도 꽤 대용량이라 양은 넉넉했어요. 근데 아래 깔려있는 자몽청이 너무 넉넉해서 되게 달더라구요ㅠㅠ 우유를 좀 더 달라할까 하다가 물도 아니고 우유라 그냥 달게 먹었어요ㅠㅠ
 그냥 우유만 들어간게 아니라 밀크폼이 위에 가득 올라가 있어서 되게 부드럽고 순한 느낌이에요! 자몽청을 조금만 줄이거나 우유를 더 넉넉하게 넣으면 좋을 것 같아요. 자몽청도 우유거품도 참 맛있는 것 같은데 밸런스 조절이 아쉽더라구요ㅠㅠ
 다음에는 커피 메뉴 먹으러 또 와보는걸로~",316357,47875,준영,2,대전시 동구 대동 208-3,7,278083,36.33111019,127.4429399,카페조각구름,2017-03-06 08:56:32
1,"대동역/우송대 상권에 있는 프랜차이즈 카페를 제치는 분위기 깡패 카페.
주인도 굉장히 친절하신 분이었고, 내부 인테리어도 깔끔하니 좋고, 음료도 제철 딸기를 이용한 메뉴를 배치하거나, 기타 음식들도 훌륭했습니다.",357334,811830,시오,3,대전시 동구 대동 208-3,7,278083,36.33111019,127.4429399,카페조각구름,2017-07-07 10:30:01
2,이 동네에 있는 카페중에 이런데가 별로 없어서 반갑긴 했어요! 인테리어도 아기자기하고. 밖은 너무 추워보여서 안에 앉았는데 의자는 너무 불편해요. 오래있는건 비추. 커피는 평범하고 가격도 평범. 샌드위치는 되게 푸짐하게 나와요 대신 싸지도 않음.,335248,722980,두부,2,대전시 동구 대동 208-3,7,278083,36.33111019,127.4429399,카페조각구름,2017-04-30 15:02:12
3,친절한 사장님이 생각나고 카페분위기가 좋다 카페 같은게 없는 곳에 있다,339665,113840,주효정,2,대전시 동구 대동 208-3,7,278083,36.33111019,127.4429399,카페조각구름,2017-05-11 22:34:19
4,"강력 추천하고 싶은 식당인데, 생긴 지 얼마 안 되어 썰렁합니다. 
- 맛 : 대전 시내 어느 인도음식점에도 떨어지지 않음. 양은 훨씬 많음(인도인 요리사분이 주방에 계심)
- 가격 : 다른 인도 음식점에 비해 40~50%정도 저렴함.
- 분위기 : 다른 인도음식점에 비해 많이 촌스럽고 소박함. 소개팅 등의 목적으로는 비추. 대신 화장실과 홀이 매우 청결함! 
- 친절도 : 매우 친절하고, 무리한 부탁이 아니라면 모두 적극 들어줌. 
- 기타 : 주차 불가능. 
- 종합 : 고급스러운 분위기는 결코 아니나, 맛있는 인도 음식을 상대적으로 저렴한 가격에 많이 먹을 수 있는 좋은 식당!!!! 가세요 두번가세요",194426,470616,숭지,3,대전시 동구 대동 401-31,5,237129,36.3337643,127.4453732,커리헛,2016-01-25 02:29:16
5,"주인 아주머니가 너무나도 친절하여 기분이 좋다.
음식의 맛은 사실 뛰어나다고 느끼지 못하였고, 인근 음식점에 비하면 비싸게 느껴졌지만 여느 인도음식점에 비하면 비싸지 않다.",309237,722980,두부,2,대전시 동구 대동 401-31,5,237129,36.3337643,127.4453732,커리헛,2017-02-14 14:23:04
6,"너무비싸고 한국입맞에맞춰서
인도나 호주커리만큼의 향도 맛도 없었어요",215602,528367,여원,1,대전시 동구 대동 401-31,5,237129,36.3337643,127.4453732,커리헛,2016-04-13 11:13:49
7,"꽃등심샐러드랑 로제빠네.
가격이 너무 비싸지 않고 샐러드가 신선함 근데 고기는 질긴 부분도 있었어요~ 빠네는 빵을 오븐에 구워서 나와 되게 바삭하고 맛있었음 면은 푹 익어서 부드럽고 아쉬운건 소스가 너무 짰어요ㅠㅠ",339919,722980,두부,2,대전시 동구 대동 401-24,4,282668,36.3333074,127.4450892,모먼트쿡,2017-05-12 15:53:31
8,,59463,27160,김지혜,3,대전시 동구 대동 66-6,1,36494,36.33170319,127.44406891,동그라미국수,2014-07-28 23:48:35
9,"대동에 정말 마싯는데 찾기힘든데 숨겨진 보물같은곳ㅠㅠ
국물이 정말 얼큰하다...양도 낭낭..조개만 조금 해감해주셨으면 더 조켓다ㅠㅠ",186897,450180,조유나,3,대전시 동구 대동 358-4,1,36434,36.3331775,127.4468023,오가경성만두,2015-12-26 23:43:56
