,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"차례대로 치즈오븐스파게티, 솔커리, 함박스테이크, 도르리 비프버거, 불고기덮밥, 우삼겹덮밥이예요. 사이드메뉴로 감자튀김을 주는데 짭짤하고 맛있어요 치즈오븐스파게티는 치즈가 엄청 많고 맛있어서 자주 시키는 메뉴 중 하나예요 추천드려요ㅎㅎ 불고기덮밥은 지금 메뉴에는 단종된걸로 알고있고 우삼겹덮밥은 새로 출시된 메뉴인데 마요베이스에 고기가 엄청 많아서 든든하게 드실수 있을거같아요 익숙한 맛인데 맛있습니다 ㅎㅎ 전체적으로 분위기도 괜찮고 맛있는 식당입니다~~",330663,626029,안수진,3,대전시 동구 삼성동 151-13,7,163990,36.33840179,127.43252563,솔도르리,2017-04-17 17:46:41
1,"솔도르리랑 사진은 안찍었지만 팟타이 먹었어요
점심시간에 사람 진짜 너무 많아요 
팟타이 나름 먹을만 하지만 양이 적어요
여기 학교 학생이라면 먹을만한데 외부에서 찾아올 법한 맛집은 아닙니다",362208,820399,김현주,2,대전시 동구 삼성동 151-13,7,163990,36.33840179,127.43252563,솔도르리,2017-07-21 13:07:07
2,"대전역에서 10분 정도 도보 위치에 있는 육개장 단일메뉴로 판매하시는 명랑식당입니다

마치 70년대의 시골집을 연상케 하는 분위기의 식당에 들어서면 뒷마당에선 고기국물 끓이는 냄새가 솔솔 풍기고 식당 안에서는 군침나는 육개장 향이 코를 찌르죠

한 마디로 이 집 육개장을 말하자면 파개장이에요 정말 대량의 대파를 넣어주세요

별명이 파개장인 만큼 육개장에서 달달한 맛이 기분 좋게 합니다
이런 자연의 단맛을 모르시고 떡볶이국물같다고 폄하하시곤데.. 전 떡볶이하고 맛의 연결고리는 찾지 못했습니다 ㅎㅎ

물론 MSG 맛이 조금 많은 것이 맘에 걸리지만 진한 육개장에 적당한 맵기.. 쫄깃한 대파 와 쭉쭉찢은 사태의 식감까지.. 아주 시원하게 바닥을 비울 수 있었습니다

고사리가 없는 것이 조금 아쉽긴 했어요 ㅎㅎ

사장님 너무 상냥하세요 반면 다른 이모님들은 조금 무뚝뚝 하셔서 좀 웃겨드리고 싶었습니다 ㅋ

아주 괜찮은 육개장... 명랑식당 육개장

단돈 7000천원으로 잠시 행복해 지세요
.
#주의: 오전 9:30에 문여셔서 오후 3:00까지 밖에 안하세요. 영업시간 꼭 확인하세요",264681,460278,YennaPPa,3,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2016-09-18 07:32:00
3,"메뉴는 딱 한가지, 육개장만 판매한다.

추가하는 밥이나 육개장은 돈을 받지 않는다.

파가 많이 들어가서 개운하면서도 걸쭉하다.
",34097,10516,찌용☺️,3,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2014-04-28 11:36:59
4,육계장?? 케찹탄 암튼 내입맛엔 별로,52527,23618,메롱,1,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2014-07-09 07:15:32
5,그냥 국은 떡볶이맛에 건더기는 파만둥둥,143390,175661,♧,1,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2015-06-09 00:36:09
6,술마신 다음날 최고입니다 ㅋ,53463,23938,남승우,3,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2014-07-11 09:37:30
7,추천추천,59682,27355,다해,3,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2014-07-29 20:06:16
8,맛있어요 !! ^^,255680,606217,윤정균,3,대전시 동구 삼성동 270-17,1,16838,36.3355155,127.4288651,명랑식당,2016-08-19 13:35:32
9,기다리긴 싫고 포장해서 집에서 끓여먹곤한다. 칼국수도 맛나고 완전 칼칼한 물총 짱!,337114,202502,제이림,3,대전시 동구 삼성동 304-36,1,16844,36.3420172,127.4250672,오씨손칼국수,2017-05-04 21:48:37
10,,139791,145773,이재우,2,대전시 동구 삼성동 304-36,1,16844,36.3420172,127.4250672,오씨손칼국수,2015-05-17 18:45:35
11,여기근처 아파트살아서 치킨은 여기서 사먹는데 정말바삭하면서도 안에는 부드러워서 맛있고 직접가서 사오면 2000원할인도 해줌♥진짜 맛있음 조각조각이 크게나와서 몇조각없는것같은데 두조각먹고나면 배채워짐ㅋㅋㅋㅋ,78713,38694,박정현,3,대전시 동구 삼성동 323-1,1,36487,36.3401353,127.4215095,큰통치킨,2014-10-25 23:25:39
12,"미리 전화주문하고 포장가지러가면 금방가져갈수있음
포장주문시 2,000원할인 
가격착하고 맛도있음",111054,54607,알빈,3,대전시 동구 삼성동 323-1,1,36487,36.3401353,127.4215095,큰통치킨,2015-01-13 15:47:36
