,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"파스타 2종류랑 필라프 2종류랑 살치살 스테이크랑 샐러드 먹음

난 미식가가 아니라서 특별한 무언가는 잘 모르겠다

그래서 맛있게 먹음

ㅎㅎ",358633,803594,,2,대전시 동구 용전동 63-27,4,189505,36.3513688,127.4367214,잇츠,2017-07-11 02:30:40
1,"무난한 원플레이트 레스토랑
런치세트로 먹으면 두가지 메뉴를 합리적인 가격에 맛볼수있어서 좋다 :-)",111613,47328,포동판다,2,대전시 동구 용전동 63-27,4,189505,36.3513688,127.4367214,잇츠,2015-01-15 21:50:25
2,자주 가고싶은곳,111470,54990,서용근,3,대전시 동구 용전동 63-27,4,189505,36.3513688,127.4367214,잇츠,2015-01-15 02:02:21
3,"방문일자 2017 8 7

/* 어제자 일기 */

오후 4시에 갑자기 카페 가고 싶다고 버스를 탔다. 이름이 취저인 곳이 있어서였다. 이름 왤케 귀여워(?) 고소해ㅜㅜㅜㅜ 그리고 어어엄청 최근 오픈이었다고 한다...! 인스타에서 주소 찾아서 겨우 찾아갔다. 간판이 없었다:)

마실 것 위주로만 주문할까 했는데 식사 전이라 출출해서 오픈 샌드위치를 주문했다. 세트로 주문하면 아메리카노도 같이 나온다고 해서 세트로 주문했다. 아보카노 궁금했는데 상큼한 게 너무 먹고 싶어서 이날은 아보카도가 복숭아한테 졌다. 

제철과일오픈샌드위치
바나나 - 바나나 향이 진하고 달콤해서 좋다. 그리고 바나나와 누텔라 조합이 어디 가겠는가.
복숭아 - 복숭아 자체가 엄청 맛있다. 과즙 팡팡
- 호밀빵이 맛있다. 가는 구워서 바삭하다. 짭쪼롬도 아니고, 씹으면 씹을수록 조금씩 은은하게 나오는 버터 짭쪼롬한 맛이 약간 있는데, 짭쪼롬이라 말할 정도의 강도는 아닌데 표현을 못 하겠다. 클씨 크기를 10포인트가 아니라 한 3포인트 정도로 쓰면 표현이 될까. 속은 누텔라나 크림치즈 같은 게 발라져 있어서 적당히 부드럽다. 

아메리카노
- 커피가 고소하다. 근데 끝자락에 탄맛이 약하게 느껴진다. 무시해도 될 정도로 크게 느껴질 정도는 아니었는데, 다음에 또 오면 괜찮아지지 않을까 하는 생각이 들었다. 

가게가 참 식물식물하다. 몇 개 식물은 살 수도 있어서 사장언니(?)님께 말씀드리면 구매할 수 있다고 한다. 되게 온실 안에 들어온 것처럼 (덥다는 건 아니고) 안정되고 편안한데 식물 바로 옆자리 앉으면 식물 좋아하는 날파리 같은 친구나 개미를 가끔 볼 수 있다. 진짜 엄청 쪼매난 벌레 곤충 다 싫어하시는 분들은 이 자리 말고 테이블 앉으시면 괜찮을 것 같다. 

한남대 친구한테 지 안 부르고 왔다갔다고 혼났다. 다음 달쯤 한 번 더 가면 연락하고 만나서 프레즐이나 스콘 먹어보러 가야겠다. 

여긴 고소하다. 
처음이니까, 카피가 아쉽긴 해도 호밀빵이 맛있어서 괜찮다. 
역시 사진은 아무 생각이 없이 찍어야 한다.
사진 모자이크 처리했습니당",369001,641116,하영,2,대전시 동구 용전동 81-17,7,330969,36.3516982,127.4288248,고소한식물원,2017-08-08 14:54:58
4,국물이 다른곳이랑 다르네요!!! 강추!!!!!!,272453,435910,foodie,3,대전시 동구 용전동 64-20,1,272876,36.35260415,127.4363104,병천순대감자탕,2016-10-15 01:53:45
5,"주먹구이 생오겹살 초벌선택가능함
고기가 신선하고 백김치에 싸먹으니 맛있음
굳굳!! 현금결제하면 소주가 1500..넘나 개이득임",209669,479659,쏘쏘,3,대전시 동구 용전동 66-6,1,236372,36.3534753,127.4381043,뚱돼지주먹구이,2016-03-22 21:50:18
6,"초밥커플세트 2만원
알밥정식 8,000원
돈까츠야끼우동 7,500원
매운철판돈까츠 9,000원

터미널앞이라 그런지 음식도 빨리나오고 서비스는 괜찮은편 

생선초밥은 초밥집이 아니니까 그냥 그러려니 하고 먹어야할 것 같다. 가운데 새우튀김롤 괜찮았음.

역시 튀긴건 모두 맛있는 것 같다. 어느 지점을 가도 돈까스는 속이차고 바삭한건 똑같은듯.

야끼우동은 살짝 매콤하게 해서 더 먹기 좋았다. 생각했던것보다 괜찮았던 음식.

매운어쩌구 이런건 시키지말았어야 했는데 비주얼에 또 속았다.. 그냥 매운초고추장과 고추장에 중간맛이라고 해야할까 애매한 고추장맛 소스에 양파와 양배추만 들어있는 돈까스다.

버스타기전 한끼 때우기는 괜찮을 것 같다.",304195,67235,푸짐,2,대전시 동구 용전동 68-16,3,36241,36.3506492,127.4376585,미소야,2017-01-29 19:10:43
7,맛이 나쁘진 않아요 ㅎㅎ ,118367,61187,JeongJiWon,2,대전시 동구 용전동 63-27,7,163989,36.3513688,127.4367214,설빙,2015-02-10 10:18:06
8,"Tranquil, serene, spacious and inviting paint the atmosphere of UrbanTheChef. With contemporary jazz gently filling the air one can relax and enjoy a tasty meal in comfort. I recommend a pizza. ",270172,66857,Marc,3,대전시 동구 용전동 68-21,4,258129,36.3499205,127.4380625,어반더쉐프,2016-10-06 20:23:22
9,"흔한 동네 중국집 비주얼 
체인짬뽕점처럼 세련되고 깔끔한 분위기는아니지만 그럭저럭 :-)
채소육수를 쓰시는듯-!",211502,479659,쏘쏘,2,대전시 동구 용전동 117-22,2,252118,36.349336,127.436338,만리장성,2016-03-29 00:21:23
