,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"개인적으로 튀소보단 부추빵
빵자체에서 달달한 맛이나요
약간 쫄깃한 빵 그래서 좋음ㅎ",290250,542643,요롤로잉,3,대전시 서구 괴정동 423-1,7,219556,36.3409395,127.3892792,성심당,2016-12-21 21:40:58
1,"맛있다!!!! 부추빵, 튀김소보루 다 맛있다!!!! 예상하는 맛 그대로이지만 그만큼 맛있다!!! 어서 서울에도 많이많이 생겼으면 좋겠다 :)",339103,26786,Jessica,3,대전시 서구 괴정동 423-1,7,219556,36.3409395,127.3892792,성심당,2017-05-10 00:26:02
2,음 본점은 아니지만 그래도 튀김소보로맛은 여전하다! 나는 고구마소보로가 더 맛있는것 같다ㅋㅋㅋ달달,270081,553856,백승연,3,대전시 서구 괴정동 423-1,7,219556,36.3409395,127.3892792,성심당,2016-10-06 13:08:29
3,"본점에비해 규모는 훨씩작지만
그래도 대표메뉴는 다 있는편
시식도 시간 맞춰가면 다양하게 할 수 있고
직원분들도 친절하구
빵순이라서 거의 일주일에 다섯번은 가는데
대체로 마싯다",222299,400687,이소진,3,대전시 서구 괴정동 423-1,7,219556,36.3409395,127.3892792,성심당,2016-05-06 20:15:23
4,믿고먹는 대전대표 빵집,354219,145360,김정창,3,대전시 서구 괴정동 423-1,7,219556,36.3409395,127.3892792,성심당,2017-06-26 23:40:19
5," 3일전 쯤 정식 오픈한 신상카페예요! 처음 찾아가는데 몹시 애를 먹었어요ㅠㅠ 앞뒤좌우로 다 모텔이라 음 뭐지..?하면서 가다가, 간판이 보여서 옆을 돌아보니 무당집 같은게..! 대체 뭐하는 골목일까..하는데 그 옆에 있는 가정집이 카페더라구요. 가정집을 개조하셨나봐요!

 10시 오픈 시간 맞춰서 방문했는데 제가 먹고싶던 말차푸딩은 만드는데 두시간 걸린다고 하셔서ㅠㅠㅠㅠ 어쩔 수 없이 플화랑 애플 무스케이크로 주문!
 아쉽게도 플랫화이트는 오묘하게 싫어하는 맛이 나서 입에 맞지 않았지만 애플치즈무스는 너무 맛있게 먹었어요! 위에 사과 조림?도 적당히 상큼하고 맛있고 크림도 당연히 꾸덕꾸덕에 아래 깔린 층이 곡물? 맛 같은게 나는게 몹시 매력적이더라구요~ 간간히 어떤 곡물의 쓴맛? 같은 것도 나는데 크게 신경쓰이지 않아서 괜찮았어요. 말차 푸딩 너무너무 먹고싶어서 꼭꼭 재방문을 기약합니다...ㅠㅠ",338768,47875,준영,3,대전시 서구 괴정동 427-9,7,321268,36.3389835,127.3888954,동방커피,2017-05-09 02:06:47
6,"동방커피 애플 치즈 무스 넘 맛나고용,,,, 
에이드도 맛있어요,,,! 제 친구는 에이드 사이다 맛 같다고 했는데 전 괜찮았어요!! :) 
사진에는 없지만 아인슈페너도 맛있어요 ",372020,553856,백승연,3,대전시 서구 괴정동 427-9,7,321268,36.3389835,127.3888954,동방커피,2017-08-16 02:27:22
7,"롯데백화점 대전점 인근의 수제 버거 전문점. 이곳이 본점이며 분점으로는 어은점과 관평점이 있음.

버거와 샌드위치를 판매. 두툼한 패티와 신선한 야채의 조화가 좋음. 메뉴 수는 본점 > 어은점 > 관평점. 본점에는 다른 지점에는 없는 파스타도 판매.

참고로 매주 화요일 휴무 (어은점은 연중 무휴)

다만 매장이 좁아 테이블이 4~5개 정도 밖에 안되고 롯데백화점 인근이 항상 복잡해 차량 접근성이 조금 아쉬움.",23068,6303,Jeong-Hun Shin,3,대전시 서구 괴정동 423-3,4,17577,36.3399187,127.3906739,하우스그릴,2014-02-14 23:09:55
8,서구 괴정동에 위치한 하우스그릴 수제버거로 나름 유명하지만 개인적으로는 그저 그랬다. 하지만 감자튀김은 맛있었고 가격대비 그리 나쁘지않다. 수제버거를 좋아하시는 분이라면 한번쯤은 가볼만하다.,207299,496463,홍대인,2,대전시 서구 괴정동 423-3,4,17577,36.3399187,127.3906739,하우스그릴,2016-03-14 01:50:54
9,수제버거 완전 맛잇어요~~!  핫돈까스 추천 매운맛 단계조절 가능하고 특이한 소스맛에 반햇어요ㅎㅎ,63661,29166,지은,3,대전시 서구 괴정동 423-3,4,17577,36.3399187,127.3906739,하우스그릴,2014-08-07 16:48:18
10,Best burger in Daejeon hands down!! Absolutely love this place!! ,374785,829836,Halie,3,대전시 서구 괴정동 423-3,4,17577,36.3399187,127.3906739,하우스그릴,2017-08-22 16:33:03
11,,40586,17286,현옥 정,3,대전시 서구 괴정동 423-22,3,36828,36.3406971,127.3887292,느린하루,2014-05-23 00:35:42
12,"대전 일대에서 인기리에 체인점을 확장중인 라드커피, Like a Diamond 의 줄임말로 정말 카페 공간이 세련되고, 커피맛도 매력적이었어요. 저는 드립으로 루나티토, 친구는 델리시아를 먹었는데, 산미를 좋아하는 분은 델리사아. 고소한 맛을 좋아하면 루나티코 추천드립니다. 
라드커피는 체인점이어도 각각이 특징이 있다고하는데, 제가 방문한 롯백(성심당 입점) 근처 라드커피는 2층에 반려견, 반려묘가 함께 할수 있는 곳이 있아요! ",247884,42644,투비써니,3,대전시 서구 괴정동 423-12,7,264008,36.33957458,127.39002951,라드커피,2016-07-29 08:12:11
13,둔산동에 여기저기 많아서 갈곳없을때 무난하게 갈만하다. 메뉴도 많아서 선택의 폭이 넓어서 좋음,339390,48495,AnSeungji,2,대전시 서구 괴정동 423-12,7,264008,36.33957458,127.39002951,라드커피,2017-05-10 21:59:08
14,그냥 먹을만합니다. 인테리어가 좋아여!,331020,763632,파랑새,2,대전시 서구 괴정동 423-12,7,264008,36.33957458,127.39002951,라드커피,2017-04-18 15:51:55
15,충청도 왔으면 공주칼국수 먹어야함. 대전에서라면 괴정동 공칼을 손에 꼽을 수 있음. 잠시 맛이 방황하는 듯 하여 아쉬웠지만 최근 다시 한 번 먹어보니 초심 찾은 듯. 얼큰이칼국수류 중 최상급이라고 할 수 있음.,376812,839796,허영목,3,대전시 서구 괴정동 48-16,1,36640,36.3396005,127.387209,공주칼국수,2017-08-27 23:49:19
