,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"대전에서? 저희 학교에서? 가장 유명한 뷔페에요. 
평일런치는 3만원 정도 하고 디너나 공휴일은 4만원정도 해요. 런치는 안가봤는데 대게가 안나오는거 차이밖에 없다하더라구요! 가성비 따지면 런치가 훨씬 나은것 같아요. 샐러드도 에피타이저도 초밥도 다 무난무난한 맛이에요. 딱 뷔페 음식
디저트는 좀 맛 없었어요ㅋㅋㅋ
베스타 한두번 정도는 가볼만한 것 같아요~",234021,47875,준영,2,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2016-06-18 13:50:37
1,"둔산동에 위치한 뷔페인데 들어가보고 깜놀했다. 엄청 크고 음식 종류가 많다. 이런 뷔페가 서울가면 4만원이지 않을듯했다. 
신기한 메뉴 넘나 많았당. 모든 음식에 감동하며 먹음. 덕분에 하루내내 배가 꺼지질 않은 사태가... 디저트도 완전 괜춘했다. 갠적으로 뷔페 안좋아하는데 여긴 좋다.",330044,533317,푱,3,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2017-04-15 23:09:32
2,"대전 최고의 부페라고 지금 말할수있습니다!!!
우선 해산물요리가 너무 신선하고 좋습니다 특히 생새우 초밥인가? 단새우초밥 너무 맛있구요 보통의 부페는 이거저거 실속없이 먹어보고 질려서 배부른데 요기는 계속 먹고싶은 음식들이 많아요 :) 즉석스테키도 맛있는 편이구
그리구 디저트까지 정말 맛있어요 자칫 너무 배불러서 케익은 눈길도 안주기마련인게 놓치면 후회할정도에요 망고뮤스케익이랑 산딸기무스 케익 정말 제스탈이었어요 :)",109941,53147,LeeYoungju,2,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2015-01-08 00:31:14
3,"주말 4만원.
음식 가짓수나 맛은 좋은 편이지만 가성비는 좋지 않은듯;
4만원 뽕뽑기 힘드루다....

여러모로 비싼 값을 못하는 편은 아니지만 출혈이 느므 크다.
그럼에도 불구하고 예약하지 않고 가면 웨이팅이 기다리고 있나니.


★예약하세요",270522,530546,애기입맛 yuu,2,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2016-10-07 20:11:47
4,대전 최고의 부페. 평일 저녁도 36000원으로 가격이 올랐지만 음식이 워낙 맛있어서 오히려 싸다는 느낌을 받을 때도 있어요. 계절에 맞게 대게나 전복 등이 스페셜 메뉴로 나와요.,133488,55110,inyeongchoi,3,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2015-04-16 11:18:31
5,예약하고 가야하는 곳인건 맞지만 정말 맛있어요. 스테이크는 구워주시는 분에따라 다른건지 호불호가 갈리지만 제가 몇번갔을땐 다 좋았어요ㅎㅎ 연어구이도 좋았고 샐러드도 좋았고 디저트도 잘 채워져서 좋았어요 젤라또도 맛있고!!비싼만큼 더 맛있어요ㅎㅎ,115992,59431,김서정,3,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2015-02-01 22:48:00
6,베스타 진짜 짱! 모든 메뉴 한입 씩 먹어도 다 못먹을 정도로 다양한데다가 음식 퀄리티도 좋다ㅠ 딸기시즌 너무 좋다!!,316603,708415,먹쟈,3,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2017-03-07 01:36:57
7,맛있고 먹을 것도 많고... 정말 좋지만 만만치 않은 가격이죠ㅠㅠ ,194430,470616,숭지,3,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2016-01-25 02:47:01
8,"가성비 굿굿
서울에 있었으면 6만원 이상의 퀄리티",328299,697235,어홍규,3,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2017-04-11 01:36:06
9,"대전 최고의 뷔페
음식 종류도 다양하고 맛도 좋다.
특히 디저트가 아주 다양해서 여자들이 좋아한다.
평일 런치는 가성비가 좋지만 이외에는 가성비가 좋다고 하긴 힘들다",316333,736868,송양준,2,대전시 서구 만년동 339,6,188064,36.3669343,127.3805571,베스타,2017-03-06 03:04:20
