,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0," 요즘 용문동 근처에서 새로 뜨고 있는 카페예요. 용문동 오면 이봌커피 아니면 카페오아이로 가는듯!
 엄청 화이트톤이라 약간 눈이 부실 수도 있고...테이블이 큼지막해서 좋긴하지만 의자가 편하지 않아서 오래 있기는 좀 힘들어요. 개인적으로 커피 맛은 그냥 그랬어요. 맛이 없지도, 특별히 맛있지도 않은! 다들 사진 찍으러 오거나 아니면 블로그 마켓 하시는 분들 같더라구요.
 여기보다는 포토존도 넉넉하고 커피도 맛있는 이봌커피 추천드려요~",323672,47875,준영,2,대전시 서구 용문동 242-18,7,283314,36.3393743,127.3951366,카페오아이,2017-03-27 21:15:09
1,"인테리어에 끌려서 찾아간 카페에요 ㅎㅎ
제가 커피맛은 어떻게 보는지 잘 모르지만 아메리카노는 평범했던것 같아요! 그리고 디저트도 다른 카페에서 흔히 먹을 수 있는 디저트들이라서 이 곳만의 특별함? 은 잘 모르겠더라구요 ㅠ ㅎ 저는 그냥 평범했던것 같아요!! 인테리어는 깔끔해요! ",327497,553856,백승연,2,대전시 서구 용문동 242-18,7,283314,36.3393743,127.3951366,카페오아이,2017-04-09 03:58:10
2," 몇몇커피와 함께 대전에서 아인슈페너가 맛있다고 소문난 카페에요. 생각보다 자리가 좁았는데 그래도 화이트+식물식물해서 좋았어요. 메뉴 막 고르고 있는데 친절하게 하나하나 설명도 해주셨어요!
 여기 아인슈페너에 올리는 크림은 맛없는 휘핑크림이 아니라 우유크림이라 다르대요. 실제로 먹어보니 크림에서 우유 냄새 솔솔나는게 진짜 존맛ㅠㅠ 저는 몇몇커피보다 에노츠이반이 더 맛있는 것 같아요!
 친구는 그린브라운라떼(녹차아이스크림+라떼) 먹었는데 녹차맛이 진해서 좋다하더라구요.
 그리고 쿠바샌드위치 먹었는데 되게 심플한데도 재료 하나하나가 맛있어서 좋았어요!! 치즈도 넉넉하고 빵도 진짜 딱 좋게 굽히고ㅎㅎ 통올리브 나오는 것도 너무 좋았어요. 
 강 바로 앞에 카페가 있는데 1층이라 강이 안보이더라구요ㅠㅠ 나중에 꼭 2층까지 넓히셨으면..!! 학교에서 약간 멀지만 자주 올 것 같아요ㅎㅎ",270700,47875,준영,3,대전시 서구 용문동 251-18,7,266485,36.33432067,127.39607133,에노츠이반,2016-10-08 14:02:19
3,대전에서 먹은 아인슈페너중에 최고! ,339392,48495,AnSeungji,3,대전시 서구 용문동 251-18,7,266485,36.33432067,127.39607133,에노츠이반,2017-05-10 21:59:53
4,"십년 좀 넘게 자주가는 곳인데 의외로 식당 등록이 안 되있더라구요 ㅠㅠㅠㅠ
국내산 삼겹살 집인데 대패와 생삼겹 두가지만 팔아요!
1인분도 정량인 200g이고, 쌈을 정말 어마무시하게 줍니다! 상추, 깻잎, 쑥갓 이렇게 세가지 주더라구요!

대패가 다른집과는 달리 고소하고 맛있어요 ㅎㅎ 
실제로 가끔 대패가 다 떨어져서 못먹는 경우도 있어요 ㅠㅠㅠㅠ

별미는 고기를 먹고 식사로 먹는 볶음밥이에요! 볶음밥을 시키면 된장이 나오는데 그것도 맛있어요!

고기 좋아하시는 분들은 한 번 가보세요",276346,518929,연두,3,대전시 서구 용문동 258-19,1,274211,36.33658648,127.39326702,동양돌구이,2016-10-29 21:35:17
5,"치즈돈까스랑 치즈함박스테이크! 분위기 좋음, 공간에 대한 애정이 느껴지는 아기자기한 꾸밈. 음식도 맛좋다. 돈까스보단 함박스테이크가 맛잇엇음",239682,480690,이익명,2,대전시 서구 용문동 230-27,4,263050,36.33924294,127.39660418,꼬심&키친,2016-07-05 13:55:12
6,저녁에가는바람에 낙지덮밥?을먹고싶었는데점심특선이라 못먹고산낙지볶음을먹었다 진심양이적었고걍술먹으러오는듯 2인분시켰는데양이 반인분만큼밖에안나왔으며 왕불친절함ㅋ 낙지가너무적어먹을수가없어서볶음밥으로바로ㄱㄱ했으나 볶음밥2인을시켰는데도존나적고 김도맛없 진심별로였음 그리고완전맹뭉한맛인데 매움 한마디로조미료같음 진짜ㅂㄹ생방송투데이?그거다신고해버리고싶었음!! 너무빠르게먹고기분나빠서막나오는바람에사진은못찍음 술드시러갈꺼면가셈 근데나라면 여긴비싸고양도적으니까차라리막창머그러가겠슴ㅋ 술이목적이아니라면가지마셈..진짜ㅂㄹ,201183,448861,링랑,1,대전시 서구 용문동 277-4,1,36623,36.3352493,127.3898796,충무할매낙지볶음,2016-02-18 15:35:48
7,"조미료투성이 
먹고 설사까지했음 ㅡㅡ",125227,70600,별,1,대전시 서구 용문동 277-4,1,36623,36.3352493,127.3898796,충무할매낙지볶음,2015-03-18 12:55:00
8,먹을만하다 그이상도 아니다,52517,23618,메롱,2,대전시 서구 용문동 277-4,1,36623,36.3352493,127.3898796,충무할매낙지볶음,2014-07-09 06:05:11
9,,95464,22570,Sooyeon Kim,1,대전시 서구 용문동 277-4,1,36623,36.3352493,127.3898796,충무할매낙지볶음,2014-06-24 23:59:33
10,그냥ㄱㅊ고등학생때외고친구가 엄~~청 맛있고싸다고해서가봤는데가성비괜찮은정도 아그리고또가격올랐을지도모름 그리고말하자면외고학생들은많이가는지모르겠지만롯데사는애들은그냥저냥인거같았음 아무래도어른들있으니까더가격있는데에서배달시켜먹지않을까싶음 딱이정도.,201301,448861,링랑,2,대전시 서구 용문동 591-10,8,164258,36.33805847,127.39007568,더겐치킨,2016-02-19 00:00:13
