,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0," 대전에서 드디어 매달 밋업을 열 수 있을 것 같아 너무 기뻐요!! 단체로 음식 쉐어할만한 곳이 어디있을까 하다가 발견한 메떼레에요. 원래 예약제로만 운영하는데 최근부터 상시운영한다고 해요.

 주문하니 파스타가 2인분이라며 메뉴를 줄이라는 사장님.. 15000원인데 2인분이라니요!! 서가앤쿡보다 쌈ㅜㅜㅜ실화냐며...
 그리고 멜론&프로슈토는 8천원인데 저게 반접시씩 나눠주신거라 사진 속 한 접시는 4천원 어치.. 프로슈토가 약간 마르고 비율도 아쉬워서 그렇게 맛있었다 할 수 없지만 그래도 부담없이 먹기는 좋았어요:)
 서비스로 주신 와인은 사장님께서 드실려고 사오셨다는데 이렇게 퍼주시면 뭐가 남는지 흑흑 오래 영업해주세요우..

 바질 페스토 푸실리는 많이 드라이했어요. 간도 좀 센편이고.. 식사보다는 안주 같은 느낌이었는데 이렇게 2인분으로 턱 주시니 안주로는 너무 많아요ㅠㅠ 대전에서의 바질 페스토 파스타를 너무 먹어보고싶었었는데 이렇게라도 이루니 흡족! 그치만 다시 고르진 않을 것 같아요ㅎㅎ
 다행히 크림 리가토니는 맛있어서 성공적이었어요! 관자 버섯이라 적혀있는데 아스파라거스와 소고기가 나옴.. 메뉴는 삘 받는대로 조정 하시나봐요. 페퍼론치노 덕분에 양이 많아도 물리지 않아서 좋았어요. 얘는 다음에도 다시 주문할 의사 있어요!

 맛이 정말 좋다고하긴 그렇지만 가성비가 미쳐미쳐 다른 메뉴들도 다 정복하러 올 것 같아요!b",372928,47875,준영,3,대전시 서구 탄방동 766,4,329125,36.3439409,127.3892379,메떼레,2017-08-18 16:24:03
1,분위기 좋은 식당인데 가성비와 서비스도 너무 좋았어요! ㅎㅎ 먼저 서비스로 주신 화이트 와인은 제가 술을 잘 마시지 못하는데도 거부감 없이 잘 마실 수 있었어요! 그리고 서비스로 주신 페스츄리랑 그 위에  치즈크림이 올라간 에피타이저도 맛있었어요! 하지만 약간 에피타이저 느낌보단 저한테는 디저트 느낌이 더 강했어요!ㅋㅋ약간 바삭한 식감이에요 ㅎㅎ 그리고 멜론이 들어간 샐러드(?) 는 맛이 없거나 이상하진 않았지만 약간 동떨어진것 같다는 느낌을 받았어요 ! 그냥 멜론에 요거트치즈맛이에요ㅎㅎ 그리고 바질이 들어간 파스타는 먼저 면 익음 정도가 좋았고 치즈와 바질이 잘 어울렸던것 같아요! 드라이한 느낌이에요ㅎㅎ그리고 소고기가 들어간 파스타에 사용된 면은 처음 먹어보는 면이 였는데 뭔가 씹는맛도 좋고 넘 맛있었어요! 그리고 소스도 치즈맛인데 느끼하지 않고 살짝 매콤한 맛이 나서 더 좋았던것 같아요 ㅎㅎ 메뉴 하나에 2인분 기준이라서 시키실때 참고하시면 좋을것 같아요!  그리고 룸에서는 사람들이 돌잔치나 파티도 하던데 이용해도 좋을것 같아용 ㅎㅎ,370327,553856,백승연,3,대전시 서구 탄방동 766,4,329125,36.3439409,127.3892379,메떼레,2017-08-12 01:07:31
2,"메떼레, 왜 여기를 이제야 알았을까.
8월 밋업으로 다녀온 원테이블 레스토랑.

밖에 간판이 없어서 한번에 찾아가기 힘들수도 있다. 지도를 켜고 열심히 걷다가 도착, 이라길래 '이런곳에 식당이..?' 라는 생각을 하며 2층으로 올라갔다. 하트모양으로 센스있게 쓰여진 메떼레를 발견하곤 반가웠당. 

내부 인테리어는 아늑하고 따뜻한 분위기. 원테이블 테이블이라서 작은 테이블이 하나 놓여있는지 알았는데 20명정도는 앉을 수 있는 하나의 긴테이블이었다^.^

플레이트가 세팅되어있었는데 으앙 식기가 너무 예뻤다. 

우리는 파스타2가지, 샐러드류 1가지를 주문!

애피타이저로는 메론에 프로슈토를 얹은 것을 먹었다. 우리가 주문했던 소고기까르파치오는 소고기 상태가 좋지않아 추천해주시는 것으로 변경했다. 시원한 메론에 얇은 프로슈토가 여름에 먹기 좋았다. 소스로는 달지않은 요거트를 썼는데 각 재료간의 조화가 어쩐지 잘 어우러지지 않는 감이 있었다. 

파스타는 모두 2인분으로 서브되는데 가격이1.5 라니 놀람놀람*.* 그렇다고 재료나 맛이 부실한것도 아니었다. 재료도 다양하게 사용했다. 우리가 먹은 바질페스토 쉬림프 비프 푸실리는 담백했다. 면을 너무 익히면 정말 맛없기에.. 첫입을 약간 긴장하며 먹었는데 익힘정도가 딱 적당했다. 안에 있는 새우와 문어가 담백함을 돋구웠다. 나는 안에 들어있는 방울토마토와 갈은 치즈, 페스토소스를 같이 먹는게 가장 맛났다. 

관자 버섯 크림 리가토니는 다른 홀릭분들도 가장 좋아했던 메뉴:9 맛이 매우 고소하고 진했다. 매운 향신료를 써서 덜 느끼했다. 파스타 통이 넓었는데 안까지 소스가 고루 베어있었다. 

서비스 에피타이저로 크림치즈를 얹은 패스트리가 하나씩 나왔다. 밀푀유 크러스트 느낌. 와인한병도 주셔서 더 맛있는 식사시간이었다. 

맛이 매우 섬세하다거나 파스타 여기가 가장 맛있어! 정도는 아니지만, 이 정도의 분위기 맛 서비스라면 만족스럽다. 특히 일부러 음식을 두 디쉬에 나누어 서브해주신 점이라던지 식사 사이사이에서 느껴진 배려가 감사하고 좋았다.
편한사람들과 마음놓고 이야기하며 좋은 시간 갖고 싶은 곳. 어쩐지 자주 가게 될 것 같은 레스토랑. 아, 예약은 필수다! :) 여기 알려주신 준영님 감사해요- 

",370722,577319,별이,3,대전시 서구 탄방동 766,4,329125,36.3439409,127.3892379,메떼레,2017-08-13 10:16:10
3,"방문일자 2017 8 10

/* 첫 홀릭 첫 밋업 */

3일 안에 써야지, 했던 후기는 3일째 된 오늘 급하게 써졌다고 한다☆ 입구 찾느라 조금 헤메다가 들어갔을 때 인테리어가 예뻐서 놀랐다. 머릿속으로 생각했던 원테이블은 좀 작았는데, 실제는 어마무시하게 커다란 원테이블이었다. 메뉴 고르면서 한 디쉬당 가격이 1만 5천 원대여서 좀 비싸구나, 싶었는데 메뉴들이 2인 기준의 양이 나온다신다. 그래서 생각을 고쳤다. 생각보다 가성비 괜찮은데?

사장님이 세상 모든 친절을 품고 나타나셨다. 위트 뿜뿜. 서비스로 주신 와인도 맛있고, 에피타이저로 주신 페스츄리+치즈크림(?크림치즈?) 올라간 것도 맛있었다. 디저트로 주셨어도 맛있게 먹었을 거 같다. 

샐러드 - 메론, 요거트, 치즈, 고기(?) - 저 고기(?) 정체를 모르겠다. 고기(?) 식감이 신기했다. 맛도, 요거트 때문에 상큼하면서도 치즈의 짭쪼롬한 맛이 나는데 이게 메론이랑 퍽 어울렸다. 사실 말을 이렇게 하지만, 내가 처음 접해보는 조합이라서 신기하게 느껴지는 것 같다. 맛 자체는 상상되는 맛인데 계속 집어넣고 있었다. 마지막에 고기(?)에서 새어나오는 맛이 간간짭짤한 게 좋았다. 

파스타 - 바질 - 맛은 있는데 전체적으로 맛이 강해서 아쉽게도 베스트는 아니었던 메뉴. 바질향 풍성풍성. 마늘과 이름 모를 식재료 때문에 나한텐 좀 매웠다고 한다. 나만 매웠다.... 난 잘 몰랐는데 옆에선 잣 향이 많이 남는다고. 

파스타 - 소고기♡, 크림파스타 - 이날의 베스트! 아스파라거스 식감도 좋고, 크림이 무척이나 맛있다. 푸실리는 많이 먹어봤는데 리가토니는 (내 기억에) 처음이었다. 원통형처럼 생겨서 가운데 빈 공간으로 소스가 자리를 차지해서 좀 더 소스 맛 더 진하게 먹을 수 있었고, 리가토니 면이 쫜득쫄깃한 식감을 내는데 너무 맛있게 먹었다. 

평소에 파스타 잘 안 먹는데 갑자기 많이 먹어서 속이 좀 느글거렸다. 그래도 오랜만에 먹는 드라이한 파스타여서 기분 좋고, 오랜만인데 맛도 좋고, 가성비도 괜찮아서(인당 만원도 안 나왔다) 기회가 되고 사람이 또 모이면 와도 좋을 것 같다. ",371041,641116,하영,3,대전시 서구 탄방동 766,4,329125,36.3439409,127.3892379,메떼레,2017-08-13 23:23:06
4,"역시 머떼레는 굳굳
원래 원테이블레스토랑이라 남자친구랑 기념일마다 찾고했는데 이번부터 상시영업을 하신다길래 밥먹으러왔다!!
분위기는변치않고~넘나좋쿤♡
메뉴판을 받아서 보니 가격도 안비싸고, 맛은 이미 보장되기때문에 
코스로 못먹어본 바질페스토 쉬림프 비프 푸실리랑 꼬끄뱅 스테이크를 주문~~
남자친구랑 대화하며 기다리고있었는데 생각보다 음식이 빨리나와서 더좋았다
음식먹으면서 가볍게 맥주한잔씩 마시구 기분좋음
다음에 와서는 멀 먹어볼까 고민중:)
가격도 좋구,맛도 좋구, 분위기는 좡난아님ㅋㅋㅋㅋ추천추천!!!!",358480,811766,이강희,3,대전시 서구 탄방동 766,4,329125,36.3439409,127.3892379,메떼레,2017-07-10 20:05:36
5,"식전빵
감바스
바질패스토파스타
삼치파스타
오리다리꽁띠
티라미슈",376363,542643,요롤로잉,3,대전시 서구 탄방동 692,5,272649,36.34610901,127.38697861,비스트로 네오,2017-08-26 20:50:30
6,"대전 탄방역 근처에 위치한 비스트로. 탄방역 근처에 어디갈까 하다가 대전 전문가인 준영님의 리뷰를 참고하고 방문함. 유행인 네오비스트로 퀴진을 따서 이름을 지었냐고 물어보니, 그냥 네오 라고 지을려다 옷가게 같아서 비스트로를 붙였다고 함. 아홉자리 정도의 다찌 자리가 있고 뒤에 서너개의 이인 테이블이 있음. 감바스와 장파스타를 주문함. 감바스는 올리브오일과 새우, 페퍼론치노, 마늘 이외에 버섯을 듬뿍 넣었음. 빵도 구워 같이 내어주는데 매우 잘 어울림. 보통의 감바스보다 버섯이 들어가 식감도 좋고 매우 괜찮음. 빵을 찍어 먹어도 맛있음. 장 파스타는 된장 소스를 넣고 살치살을 구워 올려내어줌. 링귀니면과 소스가 잘 어울림. 살치살도 맛있긴 한데 뭔가 딱 어울리는 맛은 아님. 차라리 얇게 해서 좀 바싹 구워 내었으면 좋았을 것 같음. 전체적으로 가격이 싸고 양이 많음. 단점은 쉐프님 혼자 요리와 서빙을 모두 담당하기에 서빙 속도가 느림. 손님이 몰려 열명이 넘어갔는데 서너개의 요리를 동시에 진행함. 주방인을 날리다님. 다른 사람을 쓰면 맛이 변하여 안쓴다고 하는데 그래도 한명 쓰면 좋을 듯 함.",350042,9388,Gastronomy,3,대전시 서구 탄방동 692,5,272649,36.34610901,127.38697861,비스트로 네오,2017-06-12 23:38:54
7," 오픈한지 얼마 안된 1인 쉐프 레스토랑이에요. 그래서 주문하고나서 음식 나오는데 오래 걸리더라구요ㅠㅠ
저는 고르곤졸라 크림 뇨끼랑 오리 다리 콩피 주문했는데 둘 다 성공적이었어요!!
 고르곤졸라 뇨끼는 살짝 구운 뇨끼로 만들어서 표면이 탄탄한게 좋았구요. 고르곤졸라 향도 진해서 좋았어요. 아래 호두 퓨레가 깔려있으니 잘 섞어드시라 하셨는데 호두는 잘 모르겠고 좀 강한 단맛이 났어요. 근데 너무 달다보니 나중에는 조금 물리는 감이 있더라구요ㅠㅠ
 오리 다리 콩피는 미나리가 샐러드처럼 수북하게 깔려져 나와요. 저는 미나리 안좋아하는데 미나리 있는건 줄 모르고ㅠㅠㅠ 그래도 시킨거니 먹어봐야지..하고 먹었는데 미나리 향이 많이 안 강하고 적당히 향긋하더라구요! 지금까지 무슨 생선탕 같은데서 먹었던 미나리랑 달라서 다행이었어요ㅋㅋㅋ 오리 콩피 살을 잘 발라서 미나리랑 알감자랑 잘 섞어드시면 돼요. 시어링 잘 된 부분은 좀 더 짭쪼름하면서 바삭한게 너무너무 맛있었네요ㅎㅎ 다른 메뉴들도 너무 기대되는 곳이에요!! 다음에는 런치로 파는 미트볼 덮밥도 한번 먹으러 가보려구요~",281482,47875,준영,3,대전시 서구 탄방동 692,5,272649,36.34610901,127.38697861,비스트로 네오,2016-11-17 19:05:45
8,"1인레스토랑 
오픈된 주방을 둘레로 바처럼 자리가 되어있고 2인용 테이블이 몇개 있는 형태
음식맛은 기가막힘 대전에서 이렇게 음식에 대한 이해도가 있으면서 맛도 있게 내놓는 집은 정말 손에 꼽을 정도. 대전의 보물
식전빵도 손님이 오면 바로바로 구워줌 
소꼬리 라구 파스타는 소스 자체가 소꼬리고기로 만든 라구인데다가 소꼬리찜 두개가 올라가는 데 브레이징해서 매우 부드럽다 생면을 쓰다보니 면도 건면의 딱딱함보다는 탄력이 있다고 표현해야할듯
특이한 점은 술을 팔지 않는 다는 것인데 종교적인 이유에서 라고 합니다 대신 콜키지는 프리

역시 종교적인 이유로 수 금 은 일찍 닫으시고 일요일은 영업을 안하네요 ",311411,470946,태우,3,대전시 서구 탄방동 692,5,272649,36.34610901,127.38697861,비스트로 네오,2017-02-20 00:04:29
9,"1인 셰프 바울님이 운영하시는 둔산동 맛집!
느긋하게 한 접시 가득 정성들여 감바스를 내어주셨다.
음식에 셰프님의 배려와 자부심이 녹아들어간게 느껴져, 한 입 한 입 촘촘히 음미하게 된다.
이 공간에 들린다면 시간이 천천히 가는 미학을 느낄 수 있을거다.
빈티지하면서도 소담한 분위기다.
비지엠으로는 거룩한 ccm이 흘러나온다. 크리스천인 분들에겐 더욱 추천한다.
이 공간에 매료되어 떠나기 싫었지만 틈틈히 공부하시는 셰프님께 방해될까봐 총총 나왔다.
집 바로 앞에 있다면 일주일에 한 번씩은 꼬옥 들렸을 힐링 플레이스!
혼자 가시는 분들은 바에 앉으시기를 추천드림다=)
요리하시는 모습 지켜볼 수 있어요~!",356888,795564,을매나 맛있게요~,3,대전시 서구 탄방동 692,5,272649,36.34610901,127.38697861,비스트로 네오,2017-07-05 19:20:41
