,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0, 대전에서 유명한 순대집중 하나에요. 철판 소자로 주문했고 첫 순대를 먹는 순간 와!맛있다! 싶긴했는데 먹다가 수세미? 같은거 나와서 입맛이 좀 상했어요..가게가 엄청 오픈형이라 파리도 꽤 많고ㅜㅠ 견딜 수 있는 위생의 경계 어딘가에 있는 가게에요. 정말 순대가 고프면 재방문할 수도 있을 것 같아요...,347783,47875,준영,2,대전시 유성구 신성동 125-3,1,37398,36.391835,127.3511921,천리집,2017-06-06 03:27:52
1,"점심시간 끝머리쯤 갔는데
직장인분들로 가득해서 일단 믿었어요ㅋㅋ

육천원에 무한리필이나 다름없는 시스템이 사람을 아주 두근두근거리게 만드네요
그래도 맛없으면 무한리필이 무슨 소용이겠어요

국밥나오고 먹는데
하하하하하 왜 무한리필하시지??
추가주문받아서 돈안버시나???ㅋㅋㅋㅋㅋㅋ

특히 순대가 진짜 맛있어요
국밥먹다가 결국 순대한접시 추가했잖아요.....

바쁜데도 직원분들 분위기도 좋은거같고
맛있게 잘먹고왔어요
후식으로 씨원한 요구르트도 한병 원샷!!!
굿굿입니다",260325,593070,돌돌 :D,3,대전시 유성구 신성동 125-3,1,37398,36.391835,127.3511921,천리집,2016-09-03 02:17:36
2,"또 갔습니다 ㅋㅋ
이번에는 순대볶음으로!!!

중짜구요 20000원
아 리뷰쓰는 지금 또 먹고싶어요ㅜㅜ
역시 순대는 천리집인거 같아요

마지막 볶음밥까지먹고
국물까지 서비스로 주시니 너무 좋아요

참 여기 리필해주는데 한번도 안해봤거든요
옆테이블에서 순대더달라고 그래서 유심히 봤는데
잉????? 새로운 국밥이 또 나온것인가???!!!!!!
ㅋㅋㅋㅋㅋㅋㅋ
그 테이블분들도 너무 많은데???라면 놀라시더라고요ㅋㅋ
하지만 다 드셨습니다
그분들도 프로셨어ㅋㅋㅋㅋ

그리고 여긴 진짜 직원분들 친절하고 직원분들끼리 분위기가 짱좋아서 먹는사람도 기분좋게 먹을수있는거 같아요",271164,593070,돌돌 :D,3,대전시 유성구 신성동 125-3,1,37398,36.391835,127.3511921,천리집,2016-10-09 23:44:33
3,"점심이건 저녁이건 바글바글한 곳 대기표뽑아야할 때도 있으나 가게 내부가 넓어 금세 자리가 난다
순대국밥을 순대만, 내장만, 순대+내장, 순대+내장+머릿고기 중에서 원하는대로 선택 가능

맛도 좋고 특히 내가 가본 순대국밥집 중 가장 건더기를 많이 주는곳!",275796,648211,ChoiMinseok,3,대전시 유성구 신성동 125-3,1,37398,36.391835,127.3511921,천리집,2016-10-27 14:10:38
4,여기 진짜 맛있어요!! 2인분씩 포장하는데 양이 진짜 많아서 5명은 먹어요. 이렇게 순대도 많이 들고 국물도 깔끔하고... 저희 집 놀러온 사람들 다 먹여봤는데 다 좋아했어요. 가게 가보면 아주머니들도 참 친절하시고 고객 서비스가 아주 좋아요... 장인의 정신이 느껴지는 집이에요 맨날 포장만 해먹어서 사진은 없네요 ㅠㅠ,308426,721563,simsim,3,대전시 유성구 신성동 125-3,1,37398,36.391835,127.3511921,천리집,2017-02-12 00:48:30
5,.,310019,478541,joooooonit,3,대전시 유성구 신성동 125-3,1,37398,36.391835,127.3511921,천리집,2017-02-16 15:33:34
6," 대전을 대표하는 빵집중 하나에요. 마감 한시간 전에 갔더니 먹고 싶던 빵이 꽤 없더라구요ㅠㅠ 그래도 시그니처인 녹차메론빵은 건져서 다행이었어요!
 녹차 메론빵은 안에 크림에서는 애매하게 쌉싸름한 녹차 크림이 들어있는데 좀 많이 단편이에요. 달아도 크림은 먹을만한데 빵 자체가 맛있는 빵은 아니었어요ㅠㅠ 정말 동네 빵집 그정도 혹은 이하..
 스콘도 그냥 그렇고..원래 녹차 스콘 맛있대서 먹어보고싶었는데 갑자기 생각이 사라졌어요ㅋㅋㅋ
 지금까지 가본데 세개 순위 정해보면 1위 콜마르 2위 슬로우브레드 3위 아빠의꿈! 학교 바로 앞에 있는 콜마르의 소중함을 이제서야 느끼네요ㅠㅠ",288956,47875,준영,2,대전시 유성구 신성동 216-3,7,37362,36.38687986,127.35017729,아빠의꿈,2016-12-17 13:30:58
7,"고소한 맛, 고구마, 단호박, 콩, 팥 등을 좋아하신다면 여긴 싫어할 수가 없어요ㅠㅠ
다만 위치가 너무 애매하고 사장님이 막 다정한?친절한? 편은 아니세요!(그렇다고 불친절하신것도 아닌... 그냥 무뚝뚝!) 그리고 적당한 시간에 방문하셔야 원하는 빵을 모두 겟하실 수 있어요! 아님 예약도 받으신대요 :)
그래도 다이어트하는 데 빵 먹고 싶으면 그나마 마음 편하게 갈 수 있는 곳!(꼴마르의 달고 버터리한 빵을 잠시 피하며...)

녹차 스콘 - 녹차향 진하게 나고 적당히 달고 괜찮은 식감! 가성비 굿
단호박든 애(이름까먹) - 단호박 밑에 레몬향나는 크림치즈! 맛있어요. 완전 한끼식사!
얇은 바게뜨인데 콩든 애(이름까먹..콩콩이? 뭐였지) - ㅠㅠㅠ맛있어... 한국식 바게뜨라고 생각하고 사랑해줄게요!
콩콩이인가.. 먹어보니 아마 하드 빵류 다 괜찮을 것 같아요! ",300668,694380,박돕,3,대전시 유성구 신성동 216-3,7,37362,36.38687986,127.35017729,아빠의꿈,2017-01-18 20:58:17
8,"재료 듬뿍듬뿍에 맛이 없을 수가 없죠 ㅜ
맛있어요!!!!가격도 괜찮아요
스콘 강추입니다!!",253368,593070,돌돌 :D,3,대전시 유성구 신성동 216-3,7,37362,36.38687986,127.35017729,아빠의꿈,2016-08-13 11:56:55
9,"ㅋㅋㅋ
ㅋ
ㅋㅋ...리뷰쓰던거 삭제되서 너무 슬프니까 한마디만 하겠습니다
>>>모찌모찌<<< 꼭 드십시오(2천원)
콤퓨타는 컨트롤에스 핸드폰은 전체선택복사를 생활화합씨다",216670,512760,먹싸자,3,대전시 유성구 신성동 216-3,7,37362,36.38687986,127.35017729,아빠의꿈,2016-04-17 16:48:12
