,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"최근에 원신흥동에 새로 생긴 카페예요. 인스타에서 치즈케이크 비주얼을 보고 쇼크먹어서 바로 다음날 찾아갔어요ㅎㅎ
 치즈케이크는 진짜 꾸덕꾸덕한게 입 안에 치즈 맛이 꽉 차더라구요ㅠㅠ 로즈마리 향도 은은한게 너무 좋고.. 비주얼이 신기해서 맛은 그렇게 기대 안했는데 의외로 너무 맛있었어요!
 플랫화이트는 처음에 엄청 대용량에 나와서 플랫화이트가 맞나 싶었는데 진짜 그냥 라떼랑 무슨 차인지 잘 모르겠었어요ㅠㅠ 라떼 메뉴는 무슨 양동이에 나오나봐요.. 대신 산미 없는 고소한 커피라서 웬만한 사람들 입에 잘 맞을 것 같았어요.
 그리고 동네가 주택가이다보니 아기랑 함께오는 어머니분들께서 많이 오시더라구요. 그래서 꽤 시끌벅적한 분위기에요. 참고!",316293,47875,준영,3,대전시 유성구 원신흥동 501-5,7,282338,36.3400076,127.3433964,레비츠체어,2017-03-06 00:07:15
1,"파란 접시에 담긴 치즈케익이 너무 예뻐서 가보고 싶었던 곳. 
아가들이랑 같이 온 부모들이 많았다. 넓게 트여있고 멋진 가구들이 놓여있는 감각적인 공간. 
일하기 좋은 책상도 두어개 있고, 다이닝테이블이 서너개, 가운데에 큰 테이블이 한개, 편안하게 앉는 소파도 있다. 

우리는 치즈케이크랑 홍차를 주문했다. 치즈케이크는 시트부분을 잘 안먹는 나같은 사람들에게 딱 좋은 :) 치즈는 우리가 먹는 필라델피아 치즈케익의 그 치즈맛. 간간히 씹히는 석류씨가 재밌다. 
음료는 우바 (uva)홍차를 주문했는데, 차 종류도 우롱티, 홍차, 녹차, 허브차로 크게 나뉘어져 있고 각각 서너가지의 티가 있다. 흔치 않은 티리프 종류로 구비해두었다. 우바홍차는 향과 맛이 진하지 않고 조금 밋밋한듯 부드러웠다. 

토끼모형이 네마리 있는데 궁댕이가 너무 귀엽다*.* 화이트톤 실내이고 깔끔한데 플랜트와 원목 가구가 적절히 배치되어 있어서 차갑지 않다. 사진찍기도 좋았던 곳.
우리가 갔을때는 손님이 적어서 그런지 이야기하기 좋았고 분위기가 편안했다. ",363692,577319,별이,3,대전시 유성구 원신흥동 501-5,7,282338,36.3400076,127.3433964,레비츠체어,2017-07-25 15:14:39
2,먼저 아메리카노는 쓴맛 많이 안나고 약간 신맛? 나는데 괜찮았어요! ㅎㅎ 그리고 치즈케이크는 처음보는 비주얼에 놀랐고 맛도 있어서 좋았어요! 뭔가 쫀득한데 부드러운맛? 브라우니는 시중에 파는 브라우니보다 덜 달아서 저한테는 딱 맞고 좋았던것 같아요!ㅎㅎㅎ ,328561,553856,백승연,3,대전시 유성구 원신흥동 501-5,7,282338,36.3400076,127.3433964,레비츠체어,2017-04-11 22:45:18
3,같이 식사하기로 했던 내외분이 맛집블로그에서 봤다하셔서 함께 물닭갈비가 뭔가해서 갔습니다  정말 그냥 물닭갈비였어요  밥도 안 시키고 그냥 서로 어색해져서 나왔습니다 메뉴이름이 독특하다고 맛까지 독특하진 않았고 그마저도 이도저도 아니어서 제 입엔 많이 아쉬웠습니다,361267,818852,,1,대전시 유성구 원신흥동 551-3,1,37723,36.3349807,127.3399213,한알천,2017-07-18 23:27:34
4,"오늘 물닭갈비 가격도 저렴하고 맛도 일품이다~~
한번가보세요 추천~~^^",278637,646748,이상철,3,대전시 유성구 원신흥동 551-3,1,37723,36.3349807,127.3399213,한알천,2016-11-07 22:00:17
5,막국수가 일품,256310,607369,Sang JinLee,3,대전시 유성구 원신흥동 551-3,1,37723,36.3349807,127.3399213,한알천,2016-08-21 16:06:44
6,"방문일자 2017 8 2

집 가는 날 오픈했었는데 그걸 몰랐다니...ㅜㅜ 오픈 5일차에 다녀왔습니다! 원신흥동이라니... 이렇게 멀리 올 줄이야. 그래도 충대에서 갈아타면 바로 가더라구요. 버스 만세ㅔㅔ

밖에서 보는데 천장이 높을 거라는 게 느껴져요. 개인적으로 천장이 높은 곳이 덜 답답해서 좋아하는데 괜히 기대 중이더라고요. 내부는 전체적으로 화이트톤이고 중간중간 드라이플라워나 몬스테라 같은 게 보여요. 멀리 있는 자리는 이날 희한하게 그쪽만 사람이 많아서 찍지 못하였...습니다 하하 그래놓고 커튼도 좋고 꽃도 좋고 창도 좋아서 사람 없는 쪽에서 혼자 4인 테이블에..

'물망고(망고스무디)'를 먹을까 했는데 티라미수가 있단 얘기를 들었어서, 티라미수랑 아메리카노 한 잔 주문했어요. 아메리카노는 deep, light, 이렇게 두 종류 있는데, deep은 산미보다는 카카오 같은 묵직함과 진한 맛의 커피고, light가 산미있는 쪽이라고 해서 light를 주문했어요. 

카운터에서 봤던 체다치즈쿠키와 다크초콜릿도 두 조각씩 함께 나왔어요. 아메리카노는 생각보다 양이 많아요! 커피를 많이는 못 마셔서 양이 많아서 좀 흠칫했는데 다행히 엄청 진하지 않아요.'무조건 진하게!'를 선호하시는 분들은 약간 실망할지도. 저는 오히려 가볍고 산뜻해서 좋았어요. 산미 적당! 목 넘김이 부드러움! 티라미수는 시트 촉촉하고 치즈 (꾸덕은 아니지만) 진해서 맛있게 먹었어요! 커피맛은 안 나지만 치즈 층 사이에 다크초콜릿이 있어서 꽤 마음에 들었어요. 

커피 괜찮아서 몇 번 더 와보고 싶은데 멀어서 언제쯤 다시 올지...헣..:)",368639,641116,하영,2,대전시 유성구 원신흥동 574-2,7,330731,36.334445,127.3376672,앳댓모먼트,2017-08-07 12:43:44
7," 원신흥동에 새로 오픈한 잠시커피에요. 가오픈 기간이 짧아서 놓쳤다가 이제야 다녀왔네요~ 오픈한지 얼마 안돼서 그런지 카메라 찰칵찰칵하시는 분들이 많아요.(저도 물론..ㅎㅎ)

 친구들이랑 플랫화이트 아이스, 자몽에이드, 청포도주스 주문했는데 커피는 개인적으로 취향이 아니었어요ㅠㅠ 동방커피에서 먹었던거랑 비슷한 느낌이네요. 청포도주스는 얼음 거의 없이 갈기만 하신 것 같은데 좀 더 곱게 갈렸다면 맛있었을 것 같아요ㅎㅎ

 그리고 의외로 가장 맛있던건 자몽에이드!!! 에이드류는 항상 불량스러울 것 같다는 생각에 잘 안시키는데 여기 에이드 정말 많이 달지도 않고 자몽이 그대로 느껴져서 좋았어요ㅎㅎ 오히려 친구는 단거 생각하고 시켰다가 너무 자몽 그 자체라며 실망했네요ㅋㅋㅋ 
 좀 많이 아쉬웠던 점은 공사 끝난지 얼마 안돼서 그런지 화장실에서 하수구 냄새가 계속 올라왔다는거에요ㅠㅠ 냄새에 많이 힘들어하는 편이라 좀 그렇더라구요.. 조만간 보수하시고 괜찮아지겠죠ㅜㅜ",340628,47875,준영,2,대전시 유성구 원신흥동 538-9,7,321645,36.3375148,127.3391008,잠시커피,2017-05-14 18:24:03
8,"뇨끼와 까수엘라를 먹고 싶어서 찾아간 이태리식당 빛나. 

예전에 망고밍글링으로 이태리식탁을 갔었는데, 비슷하지만 다른 이름 “이태리식당 빛나” 에 다녀왔다. 
바쁜 요몇주간 뇨끼와 까수엘라 앓이를 하다가 대전에서 검색해서 찾아간 곳이었는데, 맛도 분위기도 괜찮아서 기분좋게 다녀왔다:)

분위기는 화이트, 대리석톤으로 깔끔하고 밝았다. 사진이 정말 잘나오던! 분위기가 좋아서 맛에 대한 큰 기대를 하진 않았는데 맛도 좋아서 놀랐다. 까수엘라는 구운 통마늘이 정말 맛있었다. 올리브유가 자작하고 그 위에 화덕에서 구운 도우와 호밀빵을 내어준다. 다 좋았는데, 새우 수가 다여섯마리인가..그래도 새우가 메인인 요리인데, 새우 수가 좀 아쉬웠다. 맛도 식감도 좋았는데.

트러플오일과 크림소스를 곁들인 감자뇨끼는 으아, 쫀득쫀득하다. 겉은 건조하고 얇고 따뜻하게 바삭하고 속은 촉촉하고 쫀득하다. 예전에 이태리식탁 밍글링 할 때 먹었던 뇨끼는 조금 더 떡처럼 쫜-득,쫜-득이었다면 이번에 먹은 뇨끼는 씹다보면 입에서 감자특유의 질감처럼 조금 바스라지는게 파삭하면서 쫀득한 느낌이었다. 뇨끼자체도 좋았지만 소스가 정말 맛있었다ㅠㅠ 트러플오일향이 참 넉넉하게 나서 행복했다. 흑흑 

마늘을 크림소스에, 뇨끼를 새우향이 나는 올리브오일에 교차찍먹했는데 나름 잘어울려서 괜히 기분좋았던.
100번째 리뷰 식당이 빛나라서 더 기분좋았던. 

다음에 와도 뇨끼는 꼭 먹을거닷 '-'v",363527,577319,별이,3,대전시 유성구 원신흥동 499-3,4,285163,36.3410559,127.343694,빛나,2017-07-24 23:49:52
9,질소커피 파는 곳! 이란걸 나중에 알아서 마셔보지는 못했으나.. 아메리카노랑 라떼 모두 맛이 좋았어요! 다만 신맛이 나는 원두를 싫어하시면~ 다른메뉴 추천합니다!,269146,182896,HanDayoung,2,대전시 유성구 원신흥동 507-5,7,271829,36.33859401,127.34304612,앨리웨이 커피 로스터스,2016-10-02 22:52:27
