,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"아버지께서 좋아하시는 식당.
이 집에선 특별히 감자전이 맛있는데 겉은 엄청바삭바삭하고 속은 부드럽습니다.
대신 소금등이 들어간것이없어서, 짠맛에 적응되신분께선 같이나온 간장에 찍어드시면됩니다.

수육과 해물칼국수도 주문하였는데 맛있었습니다.

(p.s 점심시간등에 기다리는사람이 많습니다. 시간 여유잡고 가시는걸 추천드립니다.)

",240486,161108,테오LIFE,3,대전시 중구 문창동 366-12,1,202046,36.31511495,127.43836409,감자바위골식당,2016-07-07 16:57:49
1,"늘 식사시간을 비껴가서 몰랐는데 웨이팅 있는 맛집이었음ㅋㅋ
감자전이 바삭바삭하니 일품!
셀프로 가져다 먹는 식혜도 맛있음

식혜와 감자전 때문에 오는 집ㅋㅋㅋㅋ
주로 칼국수+감자전/ 콩국수+감자전 이케 먹어요ㅋㅋ


★식사시간대 웨이팅 있음
★감자전·식혜는 꼭 드셔보세요",256353,530546,애기입맛 yuu,3,대전시 중구 문창동 366-12,1,202046,36.31511495,127.43836409,감자바위골식당,2016-08-21 17:44:31
2,"칼국수 먹고싶을 때마다 가는 곳
식사 시간이면 평일이나 주말 상관없이 언제나 기다려야하지만 
그 시간만 피해간다면 대기없이 먹을 수 있어요
칼국수는 쫄깃 쫄깃하니 맛있음 감자 새우 바지락 골고루 들어가고
감자전은 바삭바삭하지만 기름이 많아 느끼한 경우가 있음",270592,114139,쓔쑤,2,대전시 중구 문창동 366-12,1,202046,36.31511495,127.43836409,감자바위골식당,2016-10-08 01:20:03
3,"내장탕전문입니다 보기에는 허름해보이나
6천원인데 가격대비 훌륭합니다
텁텁하지않고 깊은맛이 납니다 내장도 꽤들어 있구요
술마신 다음날 해장하러 갔다가 술땡기는 집입니다
내장탕 좋아하시면 꼭한번 가보시길...",212883,475819,아현아빠,3,대전시 중구 문창동 33-21,1,253793,36.3224743,127.4314974,함지박,2016-04-03 06:10:25
4,가게 밖까지 돼지냄새 장난아님. 맛도 그렇고 저는 도저히 먹을수가없었네요~~,239192,578349,정안나,1,대전시 중구 문창동 9-10,1,188103,36.3211558,127.4354865,농민순대,2016-07-03 23:36:11
5,국밥 짱ㅋㄱㅋ,210911,515492,HE,3,대전시 중구 문창동 9-10,1,188103,36.3211558,127.4354865,농민순대,2016-03-27 08:29:30
6,,145952,19740,정계승,2,대전시 중구 문창동 9-10,1,188103,36.3211558,127.4354865,농민순대,2015-06-22 17:03:19
7,좀 덜맵게가 딱 입맛에 잘 맞는거같당 그냥은 너무 매워서 콧물이 나올정도ㅠㅠ 주먹밥도 추가하면 알맞게 맛있음! 가격은 6천원이라 두명이서 만5천원이면 뚝딱 백종원에 나온 공주분식보다 추천!!! 국물에 풀린 계란까지 함께 먹으면 최고 얼큰칼국수는 복수분식!!!!,261622,576478,나니(Sung Naeun),3,대전시 중구 문창동 37-4,1,16905,36.3216925,127.4319024,공주분식,2016-09-06 22:20:34
8,"잡내도 안나고 금방나오고 가격도 저렴하니 좋습니다. 서울에서 5000원 내고 소주마시다가 3000원 소주 보니 정감까지 가네요 허허
24시간 영업 하시는데 월요일은 휴무예요
",190582,443906,positive mind,3,대전시 중구 문창동 10-6,1,201084,36.32341766,127.43370819,영동뜨끈이,2016-01-09 22:54:24
9,정말 고기 질리게 먹을 수 있습니다!!! 한 뚝배기 7천원이고 시래기도 정말 엄청 많아요. 소주를 부르는 맛입니다. 다만 조금 매운편이고 고기가 약간 뻣뻣해요.,294561,629969,YunJaehyo,3,대전시 중구 문창동 10-6,1,201084,36.32341766,127.43370819,영동뜨끈이,2017-01-03 18:09:29
10,"생각보다 맛있었어요!
같이 나온 반찬들도 좋았구요
근데 전부 매워서 다음날 고생 좀 했네용 ㅠㅠ",305193,616794,뚜,3,대전시 중구 문창동 10-6,1,201084,36.32341766,127.43370819,영동뜨끈이,2017-02-02 01:28:06
11,아는 형님이 여기서 볶음이랑 국밥을 꼭 먹어보래서 다녀왔습니다. 볶음이 아니고 전골(?)이랑 국밥을 시켰었는데 내장 양이 많고 정말 신선하구나하는걸 느낄 수 있었습니다. 이모님들 서비스는 다소 불친절하시기는 했는데 그외는 다 좋았습니다,312714,729789,유상민,3,대전시 중구 문창동 2-7,1,188104,36.3205092,127.4359731,광천순대,2017-02-23 16:31:38
12,,145953,19740,정계승,2,대전시 중구 문창동 2-7,1,188104,36.3205092,127.4359731,광천순대,2015-06-22 17:03:38
