,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,대전에 몇 없는 30년 넘은 맛집! 그래서 원래 가볼까 생각을 하고 있었는데 마침 백종원님께서 방문하셔서 전국 탑3안에 넣어주시니 안가볼수가ㅎㅎㅎㅎ 사실 방송 거품이면 어쩌나 하고 걱정했는데 진짜 너무 맛있었어요ㅠㅠㅠㅠ일단 파가 수북히 올라가 있는데 개인적으로 파만 먹는건 별로 안좋아해서 좀 그랬는데 파가 이렇게 맛있게 조리될줄 몰랐어요...나중에는 파 다먹어서 아쉬웠는데 다먹고 방송보니까 파가 리필도 되더라구요...다들 기억하시길... 일단 고기가 무슨 부위든 다 부드럽고 탄탄해요 그리고 국물은 단맛이 되게 강한데 그래서 더 입에 계속 들어가는 것 같아요ㅋㅋㅋ볶음밥은 쪽파를 엄청 넣어주시는데 그래서 사실 쪽파맛 밖에 안났어요...볶음밥은 좀 심심하기도해서 아껴놓은 국물이랑 같이 드시길 추천할게요! 대전에 오시면 한영식당은 꼭 가보시길!,172933,47875,준영,3,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2015-10-11 13:00:13
1,"으능정이거리에서부터 걸어가서 한 20분?정도 걸렸다. 5시 조금 넘어서 들어갔는데 북적북적했고 계속해서 손님이 들어왔다. 주로 가족 외식으로 많이 오는 듯.

배가 고픈 상태였으면 大로 주문했을텐데 밥을 먹고 밥을 먹으러 온 상태여서 小(25,000원)으로 주문했다. 한입 먹고 마싰다! 하고 코 박고 먹었다. 매운 맛보다는 매콤한 맛. 아가들이 먹기에는 초큼 매울 수도. 퍽퍽살 좋아하는 친구와 환상의 조합으로 거의 다 먹고 왔다. 배불러서 그만 먹고 싶으면서도 계속해서 들어가는 맛. 국물에 밥 비벼먹는데 아주 조아따ㅎㅅㅎ
밑반찬은 다 별로. 한입씩 먹고 억지미소^___^

최애닭도리탕집에 견줄 수 있는가 했지만 역시나 청광도예원 승. 비교하는 것부터가 조금 그런가 싶기도 하지만 ㅎㅎ 대전 가면 무조건 먹어봐! 할 정도는 아니만 나름 만족했다. ",331009,180342,프리즘,3,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2017-04-18 15:05:48
2,백종원 삼대천왕 맛집이구 오래됐다고 해서 가봤는데. 엄청난 맛은 아니었다. 괜찮았지만 서울에서까지 찾아 갈 정돈 아닌 듯. 소자 둘이서 밥 한공기는 국물이랑 비벼 먹어보고. 나머지 하나는 볶아봤는데. 볶음밥은 미나리가 들어가구 인삼스런 향이 가미되는데 그냥 공깃밥에 국물 비벼 먹는 게 더 맛있는 듯. 서비스나 분위기는 기대없이 가야하고 뚜껑 닫고 서빙되는 닭볶음탕은 이십분 정돈 뚜껑 열지 말고 기다려야 더 졸아서 맛있는 닭을 먹을 수 있다고 한다. 이건 오히려 옆 테이블 분들이 팁을 주셨는데 방송에선 백종원도 뚜껑 빨리 열었다가 혼났었단다 ㅎ. 맛은 간도 좋고 적당히 칼칼하구 엄마가 집에서 해주시는 닭볶음탕 맛 같다. 다시 말해 맛있는 편이지만 특별하진 않음. 파랑 양파가 많이 들어서 더 맛있고 밑반찬 중 마늘쫑이 가장 입에 맞았다. 궁금했는데 한 번 가 본 것으로 만족 ~!,365532,528080,고기고기,2,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2017-07-30 15:36:03
3,"백종원 삼대천왕에 나왔던 한영식당
이곳은 부모님이 대학교 연애시절부터 저는 갓난애기 때부터 다니던 저의 최애 닭도리탕집이에요!
옛날에는 아주아주 허름한 작은 집이었는데 십년전쯤? 이층짜리 건물로 확장했어요.
저는 이곳을 너무 좋아해서 대전 가는 사람들한테 다 추천하는데 하나같이 맛있다고 하더라구요. 닭도리탕은 물론이고 마지막에 볶음밥이 짱인데, 특이하게 미나리를 넣어서 향도 식감도 아주 좋아요>.<
사실 이번에 갔을 때는 요즘 닭상태가 안좋아서 그런지 살짝 누린내가 있었지만 그래도 여전히 참 맛있었어요. 한영식당 강츄",292097,567494,쌤J,3,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2016-12-27 17:08:07
4,확실히 오래된 맛집의 포스는 있다. 그러나 방송의 파급력이 얼마나 큰지 여러생각이 들게된다. 칼칼하고 담백하다. 하지만 백종원이 3대천왕에서 극찬했던 그 맛은 아니다 '_'a 차라리 솔밥묵집이나 모루가 내겐 더 인상깊은 대전의 맛집이었다. ,266530,294426,코코브루니 ,2,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2016-09-24 12:53:38
5," 가끔 닭볶음탕 생각나면 찾아가는 곳이에요. 처음으로 네명이거 가서 대잔 주문했는데 그냥 닭이 두마리인거더라구요. 백종원씨가 무조건 큰닭이 맛있다고 대자 시켜야한댔는데 작은 닭 두마리 나와서 당황..
 처음으로 파 리필 받았는데 생파 수북히 투척해주셔서 좋았어요ㅎㅎ 꼭 리필해드세요!!!
 뭔가 처음 먹었을 때만큼의 감동은 없지만 문득 생각나서 또 찾으러 올 것 같아요!",271731,47875,준영,2,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2016-10-12 12:12:52
6,백종원이 추천해준 한영식당..ㅎ 음 일단 닭맛도 좋고 안에 들어있는 파랑 양파맛도 너무 좋아요! ㅎ 다만 저는 너무 졸아서 국물이 조금 부족했어요 ㅠㅠ 그리고 볶음밥은 감자맛 밖에 거의 안나고 밍밍했던 기억이 나요.. 닭볶음탕은 맛있는데 볶음밥은 그냥 그랬어요!,295772,553856,백승연,3,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2017-01-06 21:39:27
7,"삼대천왕 맛집으로 유명한 한영식당
닭볶음탕 하나만 팔구요.
말하지않아도 알아서주심..ㅎ
2명이서 (중)자먹으니까.배가터질뻔했지만 진짜진짜진짜존맛...♡대전 맛집으로 인정.
대전가면 무조건 한영식당가세여.ㅠㅠㅠㅠ",285564,652055,땀개,3,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2016-12-03 13:54:28
8,"닭도리탕이 나오면 15분 끓였다 먹어야한다
배고픈데 먹을껄 눈앞에두고 참아야한다니ㅠ
이곳에 올때마다 기다리는 시간이 고통스럽다
15분이 지나도 약한불로 국물을 좀더 
조려먹으면 맛이 진해지고 깊은 맛이 더 생기니
국물이 자작해질때까지 조려주세요
닭고기도 부들부들하고 잡내도 없고 양도 많담니다
무엇보다 야채를 좋아하는전 파가 많아
만족스러운곳이에요

볶은밥이 있는곳은 아무리 배불러도 
마지막에 꼭 추가하지만
한영식당 볶은밥은 볶음밥도 맛없을수있다라는 
사실을 처음으로 알게해준 식당이였어요 ㅋㅋ
볶음밥을 맛본이후로
이곳을 올땐 그냥 공기밥을 시켜먹어요ㅋㅋㅋ",375814,581935,랑랑,3,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2017-08-25 13:08:29
9,3대 천왕에서 말한 만큼 맛있지는 않다. 서비스가 개판. 단답형에 말이 짧다. 오류동에 살지만 다신 안갈듯,226449,456777,Brian YJ Kim,1,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2016-05-22 10:24:06
10,"파가 듬뿍 들어가서 좋음
볶음밥은 별로였고..
한번정도는 먹어볼 맛",243140,496541,LeeSang A,2,대전시 중구 오류동 149-25,1,16924,36.3234408,127.4107739,한영식당,2016-07-15 14:11:21
