,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0," 여기 묵 정말 정말 맛있어요!! 예전에 여수였나 담양이었나에서 먹었던 묵무침이 1위였는데 솔밭묵집이 이제 인생묵집이에요ㅎㅎ 지도를 따라가다보면 산아래 가게가 나오는데 그래서 등산객 맛집 같은 느낌이에요. 그리고 천막? 같은걸로 둘러진 정말 투박한 가게이니 충격 받지 마시길.. 파리 막 날라다녀서 저는 중간중간 힘들었네요ㅠㅠ
 셋이서 보리밥, 묵전, 묵밥, 묵무침 주문했는데 보리밥에 딸려나온 된장찌개 빼고 다 맛있었어요!! 보리밥은 많이 먹어본적이 없어서 잘 모르겠지만 여기서 이거 안시키면 딱히 밥이랄게 없어서 어쩔 수 없이 시켜야해요.. 맛은 괜춘!
 묵사발은 냉면 그릇같은거에 나오는데 몹시 뜨거워서 놀랐어요. 김가루랑 김치랑 섞어서 먹으니 넘 행복ㅜㅜ 묵이 정말 진하고 꾸덕해요!! 약간 쌉싸름한 맛도 느껴지는데 그래도 맛있슴다.. 묵무침은 조금 간이 세서 막걸리랑 먹으면 정말 최고일 것 같아요! 이것두 너무너무 맛있구... 묵전은 별거 아닌거 같은데 쫜득쫜득한게 계속 생각나는 맛이에요. 그냥 방에서 10장 쌓아놓고 생각없이 먹고싶네요!!
 위생과 안락함 따지면 가기는 좀 힘들지만 그래도 직원분들 친절하시고 맛이 넘사라 또 와야합니다.. 다음에는 꼭 술과 함께 하는걸로~",358628,47875,준영,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2017-07-11 01:41:11
1,평이 너무 안좋다고해서 미루다가 갔는데 완전 맛있음!!!!!!! 묵전3천원. 보리밥하나는 두사람이 먹고도 배부르고 같이나온 된장찌개도 칼칼하니 맛있었다@ 처음먹어보는 묵밥도 맛있고. 종종 애용하게 될듯. ,195098,294426,코코브루니 ,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2016-01-28 12:16:18
2,"집에서 10분정도되는 거리였는데 식당 분위기는 멀리 나들이온 느낌이었어요. 두명이서 보리밥 2인분 시키려다가 옆 테이블에서 보리밥 양이 많다고 하더라구요. 그래서 보리밥 1인분, 파전, 채묵 먹었는데 둘이서 먹기에 딱 맞았어요. 보리밥은 야채가 많아서 너무 좋았고 파전도 쫄깃하고 너무 맛있었어요. 원래 묵사발같은거 별로 안좋아하는데 여기 채묵은 따뜻하고 고소하더라구요. 너무 맛있게 잘 먹었습니다.",337390,581183,Rinny,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2017-05-05 19:40:17
3,"지난주 출장갔다가  이번주 다시 간 맛집.
지난주는 보리밥 묵채 등였고 오늘 먹은 닭도리탕 강추해요. 주문 후 20분 기다릴만 해요.
세번째 가면 닭도리탕과 마치 크레이프 같은 도토리전 을 먹겠어용. 좋아좋아용. 왜 고속버스타고 와서 먹는지 알듯.",330617,585002,밥보다 맛!,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2017-04-17 14:06:16
4,"묵무침과 묵전이 아주 일품이었다.
닭백숙도 매우 담백.


집밥같았다.  친절한 주인아주머니와 따뜻했던 기와집 안채같았던 방.

추천이요^^~",20693,5086,Yunjeong Jeong,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2014-03-03 05:43:06
5,"아주 오래전 왔었던 기억에 다시 찾았다. 묵전, 채묵, 보리밥을 시켰는데, 가성비는 훌륭! 직접 담근 된장도 짜지만 괜찮았고. 건강식인 거 같긴 한데 그냥 유명한 집이지 엄청 맛집은 아닌 듯.",195594,24979,김영국,2,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2016-01-30 12:48:26
6,"나 진짜 여기 넘 좋다 ㅠㅠㅠㅠ
묵집마을 중 가장 인기있는 곳이 아닐까 싶은데
여름엔 닭도리탕도 많이들 드신다
나는 보리밥 묵사발 묵무침 파전 그리고 막걸리?",294990,694114,슬기,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2017-01-04 21:21:15
7,"전반적으로 괜찮아요 오래전부터 가던 집인데 요즘은 잘안가지네요 백숙이나 볶음탕은 일반적인 수준, , 묵요리는 다 좋습니다",194701,454418,장재혁 Bright,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2016-01-26 15:40:58
8,"오래된집이고 묵밥먹으러 많이들 가는곳입니다 
전체적으로 좋아요~~어른들모시고 가기  추천~~",276845,646748,이상철,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2016-10-31 19:42:59
9,"맛도있고 가성비 엄청좋아요ㅎ
추천추천",129120,54607,알빈,3,대전시 유성구 관평동 542-5,1,16889,36.4150305,127.3822741,솔밭묵집,2015-04-01 10:29:53
