,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,돈가스 맛납니다. ,182809,442820,ParkJeong-kil,3,대전시 대덕구 오정동 175-36,7,229275,36.3512351,127.4239055,티팟,2015-12-02 18:13:01
1,"등심돈가스(6,000원)
치킨가스(5,000원)을 먹었는데
돈가스 크기도 크고 맛도괜찮았습니다.
개인적으로는 등심돈가스보다는 치킨가스가 더 맛있었음
치킨가스에 칠리소스는 적절한조화",111839,54607,알빈,3,대전시 대덕구 오정동 223-268,1,189641,36.3514666,127.4260712,자연을담은돈까스,2015-01-16 15:28:42
2,"한남대학교에 있는 까페에요~
진짜 어떤 프렌차이즈 빙수보다 훨훨 맛있구요.
가격대비 양/퀄리티 짱짱이에요??


* 본인이 촬영한 카페썸사진이에요^^
사진도용 당연히 신고합니다.",118853,60645,Rani,3,대전시 대덕구 오정동 223-261,7,190278,36.3512551,127.4256133,카페썸,2015-02-13 12:21:11
3,"삼겹살오일파스타. 미트토마토파스타. 반반카레가 가장 유명하다고 한다.

미트이랑 반반 카레를 시켰다.

 미트위에 치즈를 엄청 많이 뿌려줘서 너무 좋았고 미트를 다져? 넣어서 그런지 미트볼이었을때 보다는 더 스파게티랑 먹기 편했고, 토마토가 덩어리채 있었는데, 미트랑 토마토랑 스파게티면이랑 같이 먹으면 정말 꿀맛이였다.

반반카레는 비주얼에 비해 맛은 좀 떨어졌다. 소고기카레는 약간 하이라이스 맛이랑 비슷했고, 다른카레는 느끼한 맛?? 카레에 우유를 넣었다고 해야하나 약간 그런 맛일거 같은 맛이였고, 무엇보다도 칵테일세우를 2개 밖에 안주는게 너무 야박했다 ㅠㅠ 밥도 너무 질게되서 카레랑 비빌때 떡처럼 되어서 잘 비벼지지도 않았다. 하지만 밥과 카레는 리필이 된다고 하는 듯 하다. 그리고 느끼 할까봐 청양고추를 같이 주는데 이게 신의 한수라고 할 수 있을 것 같다. 또 다른 테이블을 보니까 거의 카레를 먹긴 했다. 

음료수를 시키면 엄청 아기자기한 와인잔 처럼 생긴 컵을 주는데 여성분이라면 매우 좋아할 것 같다.

난 스파게티가 약간 더 내 취향이기는 했지만 카레도 나쁘지 않았다. 다만 간다면 다음에는 스파게티만 먹고싶다. ",334231,456341,joo,3,대전시 대덕구 오정동 175-89,3,284523,36.3517245,127.4252077,제비식당,2017-04-27 16:32:04
4,"카레 농도, 맛, 가격, 가게 분위기 모두 최고최고",347202,515428,다비 (Dabi),3,대전시 대덕구 오정동 175-89,3,284523,36.3517245,127.4252077,제비식당,2017-06-04 15:36:25
5,일본 오사카 유명 라멘전문점에서 정사원으로 일하고 직접 라멘 조리까지 해보고 많은 라멘집 다녀봐서 일본라멘에는 나름 통달했다고 보는 저인데요. 솔찍히 적어도 오사카쪽 맛은 안나구요. 일본정통 찾으시면 좀 힘들지만 일본식 라멘을 찾는거라면 괜찮습니다. ,114707,58312,허니헌,2,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2015-01-28 00:15:15
6,"약간 간이 쎈 감이 있지만 ^^
맛있긴합니다ㅎㅎ
유성에서 만나야 하는 사람이 있을때 자주 가지요 ㅎㅎ",58584,26652,Sarang Lee,2,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2014-07-26 09:27:34
7,"라면은 안먹는데 라멘은 완전 좋아하는 1인으로

강추!!",111089,54407,??,3,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2015-01-13 21:20:36
8,이번엔 소유라멘,58459,17805,양희성,3,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2014-07-25 20:42:43
9,,58803,26788,정유진,2,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2014-07-26 22:22:12
10,,55730,17805,양희성,3,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2014-07-17 07:32:36
11,Too salty,108541,51177,Dan,1,대전시 대덕구 오정동 223-272,3,186001,36.35133362,127.42534637,스바라시라멘,2014-12-31 17:24:39
12,싸고 맛남.. 배달도 되길래 배달도 시켜먹음 맛나다,311803,202502,제이림,3,대전시 대덕구 오정동 223-266,1,189644,36.35146713,127.42586517,오늘은닭,2017-02-21 00:55:26
13,"맛있는 닭갈비 싸게 먹고 싶으면 여기!
최근에 가격이 좀 오르고 양이 예전보다는 적어진 느낌이지만 닭 값 올랐다니 이해해줄 수 있어요!!ㅋㅋㅋㅋ그리고 맛있으니까 용서가 되용♥",125623,71720,Angie.J,3,대전시 대덕구 오정동 223-266,1,189644,36.35146713,127.42586517,오늘은닭,2015-03-19 21:14:30
14,"저렴한 가격에 닭갈비를 먹을수있어서 좋아요
맛은 물론이고요!!",111912,54607,알빈,2,대전시 대덕구 오정동 223-266,1,189644,36.35146713,127.42586517,오늘은닭,2015-01-16 22:31:20
15,"대전 구도심 주택가의 허름한 식당!
주메뉴는 두부두루치기와 오징어로 국물을 낸 <오징어 칼국수>와 직접 담근 <동동주>!
간수 구하기가 쉽지 않은 내륙 도시 대전의 특색 음식이 두부 두루치기이길래 방문하였는데, 맛은 기대했던 맛 딱 그대로..
비오는 날 매콤한 두부두루치기에 동동주 한잔 정도면 엄청 기분좋게 먹을 수 있으나, 대단한 맛집인냥 기대는 금물!!",166888,27597,권오찬,3,대전시 대덕구 오정동 427-14,1,219280,36.354145,127.4163339,옥경이식당,2015-09-08 18:55:22
16,"봉골레랑 짬뽕 파스타 맛있어요^^
강추!!",123308,64023,Juneseo Park,3,대전시 대덕구 오정동 223-273,4,191988,36.3515789,127.4256084,오늘은파스타,2015-03-10 11:27:47
17,"비냉시켜서 물냉육수 달라고한다음 부어 먹음
맛있어요~~^^",116439,59612,밥이브라운♡,2,대전시 대덕구 오정동 490-1,1,35637,36.3470305,127.4143795,황해면옥,2015-02-02 16:38:48
18,고기가 잘 안 발라진다,261155,605910,irene,2,대전시 대덕구 오정동 490-1,1,35637,36.3470305,127.4143795,황해면옥,2016-09-05 01:02:10
