,Comment,Comment ID,Member ID,Member Nickname,Rating,Restaurant Address,Restaurant Cusine,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Time
0,"파스타 2종류랑 필라프 2종류랑 살치살 스테이크랑 샐러드 먹음

난 미식가가 아니라서 특별한 무언가는 잘 모르겠다

그래서 맛있게 먹음

ㅎㅎ",358633,803594,,2,대전시 동구 용전동 63-27,4,189505,36.3513688,127.4367214,잇츠,2017-07-11 02:30:40
1,"무난한 원플레이트 레스토랑
런치세트로 먹으면 두가지 메뉴를 합리적인 가격에 맛볼수있어서 좋다 :-)",111613,47328,포동판다,2,대전시 동구 용전동 63-27,4,189505,36.3513688,127.4367214,잇츠,2015-01-15 21:50:25
2,자주 가고싶은곳,111470,54990,서용근,3,대전시 동구 용전동 63-27,4,189505,36.3513688,127.4367214,잇츠,2015-01-15 02:02:21
3,국물이 다른곳이랑 다르네요!!! 강추!!!!!!,272453,435910,foodie,3,대전시 동구 용전동 64-20,1,272876,36.35260415,127.4363104,병천순대감자탕,2016-10-15 01:53:45
4,"주먹구이 생오겹살 초벌선택가능함
고기가 신선하고 백김치에 싸먹으니 맛있음
굳굳!! 현금결제하면 소주가 1500..넘나 개이득임",209669,479659,쏘쏘,3,대전시 동구 용전동 66-6,1,236372,36.3534753,127.4381043,뚱돼지주먹구이,2016-03-22 21:50:18
5,"초밥커플세트 2만원
알밥정식 8,000원
돈까츠야끼우동 7,500원
매운철판돈까츠 9,000원

터미널앞이라 그런지 음식도 빨리나오고 서비스는 괜찮은편 

생선초밥은 초밥집이 아니니까 그냥 그러려니 하고 먹어야할 것 같다. 가운데 새우튀김롤 괜찮았음.

역시 튀긴건 모두 맛있는 것 같다. 어느 지점을 가도 돈까스는 속이차고 바삭한건 똑같은듯.

야끼우동은 살짝 매콤하게 해서 더 먹기 좋았다. 생각했던것보다 괜찮았던 음식.

매운어쩌구 이런건 시키지말았어야 했는데 비주얼에 또 속았다.. 그냥 매운초고추장과 고추장에 중간맛이라고 해야할까 애매한 고추장맛 소스에 양파와 양배추만 들어있는 돈까스다.

버스타기전 한끼 때우기는 괜찮을 것 같다.",304195,67235,푸짐,2,대전시 동구 용전동 68-16,3,36241,36.3506492,127.4376585,미소야,2017-01-29 19:10:43
6,맛이 나쁘진 않아요 ㅎㅎ ,118367,61187,JeongJiWon,2,대전시 동구 용전동 63-27,7,163989,36.3513688,127.4367214,설빙,2015-02-10 10:18:06
7,"Tranquil, serene, spacious and inviting paint the atmosphere of UrbanTheChef. With contemporary jazz gently filling the air one can relax and enjoy a tasty meal in comfort. I recommend a pizza. ",270172,66857,Marc,3,대전시 동구 용전동 68-21,4,258129,36.3499205,127.4380625,어반더쉐프,2016-10-06 20:23:22
8,"흔한 동네 중국집 비주얼 
체인짬뽕점처럼 세련되고 깔끔한 분위기는아니지만 그럭저럭 :-)
채소육수를 쓰시는듯-!",211502,479659,쏘쏘,2,대전시 동구 용전동 117-22,2,252118,36.349336,127.436338,만리장성,2016-03-29 00:21:23
9,"제가 가끔씩 찾아가는 저만의 맛집!!
점심시간을 맞추어서 가면 저렴하게 
시래기 매운갈비찜에 시래기밥과 시래기국을
먹을수 있습니다~~
갈비찜 살은 뼈와 쉽게 잘 떨어지고 야들야들 
매콤하니 맛납니당^^
저는 뭐니뭐니해도 갈비찜에 들어간 
시래기가 최고!!
양이 적은것 같으면서도 막상 먹으면 배불러
다 못 먹어서 아쉽 ㅜㅡㅠ",299431,304926,시니,3,대전시 동구 용전동 24-3,1,275135,36.3532709,127.44027577,시래기마을,2017-01-15 20:34:08
10,"콩국수 5000원이에용
주변 서치하다 찾아갔는데 콩국수가 정말 콩그자체더라고요
적당히 먹을만한 콩국수보단 진짜 콩맛을 느끼고싶으신분들함가보세요 ^^",356235,479659,쏘쏘,2,대전시 동구 용전동 132-6 ,1,328914,36.3516243,127.4346236,미락전골칼국수,2017-07-03 19:08:57
11,"접시당 1700원. 브레이크타임 3~5시. 군함초밥은 한개도 못보았고... 밥 쥐는 솜씨는 그저 그렇다. 따뜻한 밥으로 만든 초밥이 있었다. 의도한걸까....?
동구쪽엔 초밥집이 워낙 없으니 별수없이 먹는다...",337949,25514,YURAMING,1,대전시 동구 용전동 63-3,3,241913,36.350299,127.436619,후지산,2017-05-07 01:02:40
12,"1500원 회전초밥집!
가성비가 좋았고 연어회 광어회가 엄청 들어간 회덮밥 추천!",198775,30348,James Park,3,대전시 동구 용전동 63-3,3,241913,36.350299,127.436619,후지산,2016-02-11 13:32:42
13,"요기맛있어요
사람들도엄청오지요",158370,52229,은갱양갱,3,대전시 동구 용전동 145-9,1,36113,36.34865337,127.43235368,풍전삼계탕,2015-08-02 10:11:46
14,"무난무난한 맛이에요

처음 와봤는데.. 탄탄멘은 하남 스타시티 탄탄멘공방에서 먹은거보다 별로
돈코츠라멘도 강남역에서 먹은거보다 별로

맛없지는 않지만 엄청 맛있지도 않고 그저그렇네요",335171,734941,이중곤,2,대전시 동구 용전동 68-2,3,236194,36.35150385,127.43753417,멘무샤,2017-04-30 10:26:21
