store_location	store_name	store_rating	user_id	user_rate	user_review	user_time
대전시 유성구 노은동 516-8	권인순갈비김치찌개		쌤J	맛있다	옛날엔 1층짜리 사람많고 평범한 식당이었는데 몇년만에 2층짜리 건물을 지으셨네요ㅋㅋㅋㅋ$e$신기하게 김치찌개에 갈비를 사용하는데 그 고기 양이 어마어마해요. 아주 푹 익은 신김치에, 기름이 쫙 빠진 고기를 김과 싸먹으면 눙무리 납니다ㅠ$e$라면사리도 추가할 수 있고, 마지막에 누룽밥도 별미에요. 대자랑 중자가 3000원밖에 차이가 안나서 웬만하면 대자를 시키게되는데(남은거 포장 가능) 배를 부여잡고 나가실 수 있습니다.$e$*건물 옆에 위치한 카페 라떼 맛있어요!	2017-06-07 20:05:11
대전시 유성구 노은동 516-8	권인순갈비김치찌개		ParkJung Bae	괜찮다	갈비김치찌개만 보고 가는 음식점.$e$아주 맛있다 스러운 느낌은 아니지만, 먹다보면 밥도둑인 그런 매력적인 맛이었습니다. 다만 호불호가 갈리는 듯합니다.$e$$e$고향의 맛집이 그리울 때..! 가시면 좋아요 ㅎㅎ	2016-08-23 14:17:28
대전시 유성구 노은동 488-11	무봉리토종순대국		찐	괜찮다	순대국밥이 생각날때 가는곳인데$e$국물이 정말 진해서 맛잇음$e$순대볶음도 괜찮앗던것 같다$e$뼈다귀해장국도 시작햇는데 국물이 먼가 하나 빠진것같음$e$결론 이집은 순대국밥이 뼈다귀보다 맛남	2015-08-17 09:44:06
대전시 유성구 노은동 535-27	두메산골흑염소		찐	맛있다	노은동에 몸보신하기좋은 메뉴를찾다가 알게된곳$e$멍멍이 못먹는분들 영양보충하기 딱$e$여자들한테 흑염소가 그렇게 좋다고+_+$e$고기가 정말 부드럽고 누린내? 전혀안남$e$국물도 진해서 계속 떠먹게됨$e$마지막은 볶음밥으로 마무리	2015-07-15 21:32:56
대전시 유성구 노은동 553-8	양평본가24시해장국		태양아빠	맛있다	얼큰 담백한 양평해장국으로 속을풀고$e$시원한 초계국수로 깔끔하게 입가심까지 ^^$e$이렇게 맛난 해장국집이 노은동에 있어서 너무 좋아요$e$점심시간엔 웨이팅 기본이네요$e$대전에서 최고의 해장국맛이었습니다	2016-07-28 13:06:48
대전시 유성구 노은동 488-5	갸또줄리아		포동판다	맛있다	손바닥만한 크기의 대왕마카롱$e$바삭하고 달콤 쫀득 왕왕 맛있어요	2015-01-15 21:54:27
대전시 유성구 노은동 516-12	라차우		김정창	맛있다	개인적으로 대전에서 가장 만족스러운 중국집.$e$일반 중국집보다는 가격이 좀 더 쌔지만, 그 이상으로 맛있고 분위기도 고급스럽고, 서비스가 좋다.$e$여름에는 황궁보양냉면(이름이 맞는지 모르겠다) 강추. 기본적인 짜장도 추천. 식사 후 나오는 요거트 아이스크림도 맛잇다 ㅎㅎㅎ	2015-08-11 06:27:11
대전시 유성구 노은동 550-3	청송한우타운		김경훈	괜찮다	요즘은 한풀꺽인 정육식당 컨셉의 쇠고기집. 가격대비 고기는 괜찮은 편이나 고기가 얇게나와 익히고나면 육즙과 풍미가 떨어짐~	2014-05-25 22:16:50
대전시 유성구 노은동 550	망향비빔국수		shining	맛있다	다른 지점처럼 비빔국수는 역시 맛있다$e$적당하게 맵고 깔끔한 맛~ $e$근데 비빔국수 보통이 6천원이면 좀 비싼 감은 있다	2016-05-15 12:54:44
대전시 유성구 갑동 391-5	미스터비나가사끼짬뽕		용	맛있다	간판답게 나가사끼 짬뽕 정말정말 맛있는 곳. (8,000) 그래도 궁금해서 빨간 국물의 해물짬뽕 먹어봤는데 좀...느끼하고 별로였다. 마치 진한 사골 국물 같은 색의 나가사끼 짬뽕이 훨 맛있음.  오히려 더 느끼하지도 않고 칼칼한 맛이 나서 좋다. 그리고 진짜 사골 국물 맛이 나고 진해서 맛나다. 안에 해물이랑 채소가 정말 푸짐하게 들어있는데 문어가 기본으로 들어있어서 씹는 맛이 죽여줌.ㅎㅎ 여자분들은 거의 다 못먹을법한 양이다. 셀프코너 가면 밥 가져와서 말아먹을 수 있다. 좀 먼게 흠이긴 한데 사람들도 많이 오고 대체로 깔끔하고 맛있어서 가끔 생각나는 곳	2015-12-19 20:23:45
