store_location	store_name	store_rating	user_id	user_rate	user_review	user_time
대전시 유성구 원신흥동 551-3	한알천		이상철	맛있다	오늘 물닭갈비 가격도 저렴하고 맛도 일품이다~~$e$한번가보세요 추천~~^^	2016-11-07 22:00:17
대전시 유성구 원신흥동 551-3	한알천		Sang JinLee	맛있다	막국수가 일품	2016-08-21 16:06:44
대전시 유성구 원신흥동 501-5	레비츠체어		준영	맛있다	최근에 원신흥동에 새로 생긴 카페예요. 인스타에서 치즈케이크 비주얼을 보고 쇼크먹어서 바로 다음날 찾아갔어요ㅎㅎ$e$ 치즈케이크는 진짜 꾸덕꾸덕한게 입 안에 치즈 맛이 꽉 차더라구요ㅠㅠ 로즈마리 향도 은은한게 너무 좋고.. 비주얼이 신기해서 맛은 그렇게 기대 안했는데 의외로 너무 맛있었어요!$e$ 플랫화이트는 처음에 엄청 대용량에 나와서 플랫화이트가 맞나 싶었는데 진짜 그냥 라떼랑 무슨 차인지 잘 모르겠었어요ㅠㅠ 라떼 메뉴는 무슨 양동이에 나오나봐요.. 대신 산미 없는 고소한 커피라서 웬만한 사람들 입에 잘 맞을 것 같았어요.$e$ 그리고 동네가 주택가이다보니 아기랑 함께오는 어머니분들께서 많이 오시더라구요. 그래서 꽤 시끌벅적한 분위기에요. 참고!	2017-03-06 00:07:15
대전시 유성구 원신흥동 501-5	레비츠체어		백승연	맛있다	먼저 아메리카노는 쓴맛 많이 안나고 약간 신맛? 나는데 괜찮았어요! ㅎㅎ 그리고 치즈케이크는 처음보는 비주얼에 놀랐고 맛도 있어서 좋았어요! 뭔가 쫀득한데 부드러운맛? 브라우니는 시중에 파는 브라우니보다 덜 달아서 저한테는 딱 맞고 좋았던것 같아요!ㅎㅎㅎ	2017-04-11 22:45:18
대전시 유성구 원신흥동 538-9	잠시커피		준영	괜찮다	원신흥동에 새로 오픈한 잠시커피에요. 가오픈 기간이 짧아서 놓쳤다가 이제야 다녀왔네요~ 오픈한지 얼마 안돼서 그런지 카메라 찰칵찰칵하시는 분들이 많아요.(저도 물론..ㅎㅎ)$e$$e$ 친구들이랑 플랫화이트 아이스, 자몽에이드, 청포도주스 주문했는데 커피는 개인적으로 취향이 아니었어요ㅠㅠ 동방커피에서 먹었던거랑 비슷한 느낌이네요. 청포도주스는 얼음 거의 없이 갈기만 하신 것 같은데 좀 더 곱게 갈렸다면 맛있었을 것 같아요ㅎㅎ$e$$e$ 그리고 의외로 가장 맛있던건 자몽에이드!!! 에이드류는 항상 불량스러울 것 같다는 생각에 잘 안시키는데 여기 에이드 정말 많이 달지도 않고 자몽이 그대로 느껴져서 좋았어요ㅎㅎ 오히려 친구는 단거 생각하고 시켰다가 너무 자몽 그 자체라며 실망했네요ㅋㅋㅋ $e$ 좀 많이 아쉬웠던 점은 공사 끝난지 얼마 안돼서 그런지 화장실에서 하수구 냄새가 계속 올라왔다는거에요ㅠㅠ 냄새에 많이 힘들어하는 편이라 좀 그렇더라구요.. 조만간 보수하시고 괜찮아지겠죠ㅜㅜ	2017-05-14 18:24:03
대전시 유성구 원신흥동 507-5	앨리웨이 커피 로스터스		HanDayoung	괜찮다	질소커피 파는 곳! 이란걸 나중에 알아서 마셔보지는 못했으나.. 아메리카노랑 라떼 모두 맛이 좋았어요! 다만 신맛이 나는 원두를 싫어하시면~ 다른메뉴 추천합니다!	2016-10-02 22:52:27
대전시 유성구 원신흥동 572-1	어두리		백승연	맛있다	원래 생선을 즐겨먹는 편은 아닌데 여기는 진짜 너무 맛있었어요! 삼치구이 진짜 ㅠ 맛있고 갈치 조림도 맛있었어요! 생선 비린내도 안나고 맛있었고 반찬들 하나하나 정갈 하고 맛있었어요 ㅠㅠ! 친구들이랑 반찬까지 비우고 왔어요 ㅎㅎ	2017-04-11 22:39:33
대전시 유성구 원신흥동 568-12	청와삼대칼국수		용	맛있다	모듬셋트랑 들깨 칼국수를 먹었는데 맛있어서 정신없이 먹었다ㅋㅋㅋㅋ 모듬셋트에는 족발, 매운양념족발, 보쌈이 나오는데 하나같이 잡냄새 안나고 부드럽고 탱글하다. 특히 매운양념족발은 대놓고 매운 텁텁한 맛이 아니라 달짝하고 구수하면서 먹을수록 은근한 매운 맛이다. 자꾸 먹게 되는 중독성 있는 맛이였다! 들깨칼국수 또한 국물의 고소한 감칠맛이 일품이다. 같이 나오는 명이나물도 좋고 밑반찬도 전체적으로 깔끔하고 맛있으니 추천! 피크시간에는 웨이팅이 있다ㅠㅠ	2015-05-10 19:08:14
대전시 유성구 원신흥동 568-12	청와삼대칼국수		김지원	맛있다	집앞이라 자주 가는데 모듬보쌈 맛있어요!! 그냥족발은 쌈싸먹고 마늘보쌈은 명이나물에 싸먹고 양념은 불향이 좋아서 그냥 먹어요ㅋㅋ 바지락 칼국수 시켜서 칼국수 국물이랑 보쌈 같이 먹으면 굿 ㅎㅎ 모듬족발 4만5천원에 칼국수 6~7천원? 해서 성인 5명이서 먹었어용	2015-08-10 15:16:58
대전시 유성구 원신흥동 568-12	청와삼대칼국수		wish	맛있다	마늘보삼세트랑 칼국수 먹었는데 엄청 푸짐하고 맛있습니다. 겉절이 채소가 싱싱하고 음식들 간이 적당하고 좋아요! 다만 가게가 크지 않아서 단체보다는 3~4명 모임으로 강추!	2015-11-01 21:29:04
